,file,host_ptr_cast,vm_push_amp,amp_vm_base,amp_state_or_statevar,vm_memory_ref,io_leak,notes,status
1,block_words.c,1,0,0,0,0,0,,Dirty
2,control_words.c,0,0,0,0,2,0,,Dirty
3,defining_words.c,1,0,0,0,0,0,,Dirty
4,dictionary_manipulation_words.c,2,0,0,1,0,0,,Dirty
5,dictionary_words.c,2,0,0,0,4,0,,Dirty
6,double_words.c,0,1,0,0,0,0,,Dirty
8,format_words.c,0,0,1,0,0,0,,Dirty
9,io_words.c,0,0,0,0,1,0,,Dirty
11,memory_words.c,0,0,0,0,11,0,,Dirty
15,string_words.c,2,0,0,0,1,0,,Dirty
16,system_words.c,0,0,0,0,1,0,,Dirty
17,vocabulary_words.c,2,1,0,0,0,0,,Dirty
0,arithmetic_words.c,0,0,0,0,0,0,,Clean
7,editor_words.c,0,0,0,0,0,0,,Clean
10,logical_words.c,0,0,0,0,0,0,,Clean
12,mixed_arithmetic_words.c,0,0,0,0,0,0,TODO/HACK/FENCE,Clean
13,return_stack_words.c,0,0,0,0,0,0,,Clean
14,stack_words.c,0,0,0,0,0,0,,Clean
