"strategy","workload_type","n","mean_ns","sd_ns","cv_pct"
"ALL_ON_EXCEPT_L1L4","DIVERSE",30,0.003877,0,0
"ALL_ON_EXCEPT_L1L4","STABLE",30,0.003867,0,0
"ALL_ON_EXCEPT_L1L4","TEMPORAL",30,0.003853,0,0
"ALL_ON_EXCEPT_L1L4","TRANSITION",30,0.003827,0,0
"ALL_ON_EXCEPT_L1L4","VOLATILE",30,0.003833,0,0
"C0_BASELINE","DIVERSE",30,0.003877,0,0
"C0_BASELINE","STABLE",30,0.003867,0,0
"C0_BASELINE","TEMPORAL",30,0.003853,0,0
"C0_BASELINE","TRANSITION",30,0.003827,0,0
"C0_BASELINE","VOLATILE",30,0.003833,0,0
"C11_DIVERSE_INF","DIVERSE",30,0.003877,0,0
"C11_DIVERSE_INF","STABLE",30,0.003867,0,0
"C11_DIVERSE_INF","TEMPORAL",30,0.003853,0,0
"C11_DIVERSE_INF","TRANSITION",30,0.003827,0,0
"C11_DIVERSE_INF","VOLATILE",30,0.003833,0,0
"C12_DIVERSE_TEMPORAL","DIVERSE",30,0.003877,0,0
"C12_DIVERSE_TEMPORAL","STABLE",30,0.003867,0,0
"C12_DIVERSE_TEMPORAL","TEMPORAL",30,0.003853,0,0
"C12_DIVERSE_TEMPORAL","TRANSITION",30,0.003827,0,0
"C12_DIVERSE_TEMPORAL","VOLATILE",30,0.003833,0,0
"C4_TEMPORAL","DIVERSE",30,0.003877,0,0
"C4_TEMPORAL","STABLE",30,0.003867,0,0
"C4_TEMPORAL","TEMPORAL",30,0.003853,0,0
"C4_TEMPORAL","TRANSITION",30,0.003827,0,0
"C4_TEMPORAL","VOLATILE",30,0.003833,0,0
"C7_FULL_INF","DIVERSE",30,0.003877,0,0
"C7_FULL_INF","STABLE",30,0.003867,0,0
"C7_FULL_INF","TEMPORAL",30,0.003853,0,0
"C7_FULL_INF","TRANSITION",30,0.003827,0,0
"C7_FULL_INF","VOLATILE",30,0.003833,0,0
"C9_DIVERSE_DECAY","DIVERSE",30,0.003877,0,0
"C9_DIVERSE_DECAY","STABLE",30,0.003867,0,0
"C9_DIVERSE_DECAY","TEMPORAL",30,0.003853,0,0
"C9_DIVERSE_DECAY","TRANSITION",30,0.003827,0,0
"C9_DIVERSE_DECAY","VOLATILE",30,0.003833,0,0
"L8_ADAPTIVE","DIVERSE",30,0.003877,0,0
"L8_ADAPTIVE","STABLE",30,0.003867,0,0
"L8_ADAPTIVE","TEMPORAL",30,0.003853,0,0
"L8_ADAPTIVE","TRANSITION",30,0.003827,0,0
"L8_ADAPTIVE","VOLATILE",30,0.003833,0,0
