timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,misses,miss_percent,cache_hit_latency_ns,cache_hit_stddev_ns,cache_hit_min_ns,cache_hit_max_ns,bucket_search_latency_ns,bucket_search_stddev_ns,bucket_search_min_ns,bucket_search_max_ns,context_predictions_total,context_correct,context_accuracy_percent,window_diversity_percent,window_final_size_bytes,total_runtime_ms,memory_allocated_bytes,speedup_vs_baseline,ci_lower_95,ci_upper_95
22:16:56,A_BASELINE,9,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,1.0,0,0
22:17:03,B_CACHE,29,100000,17389,17.39,82611,82.61,0,0.00,34.285,0,0,0,36.946,0,0,0,0,0,0,0,0,6.61,0,1.0,0,0
22:17:11,A_BASELINE,10,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,1.0,0,0
22:17:11,A_BASELINE,23,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,1.0,0,0
22:17:11,A_BASELINE,25,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,1.0,0,0
22:17:19,B_CACHE,14,100000,17389,17.39,82611,82.61,0,0.00,30.493,0,0,0,37.213,0,0,0,0,0,0,0,0,7.80,0,1.0,0,0
22:17:26,A_BASELINE,19,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,1.0,0,0
22:17:34,C_FULL,13,100000,17389,17.39,82611,82.61,0,0.00,32.037,0,0,0,36.765,0,0,0,0,0,0,0,0,6.61,0,1.0,0,0
22:17:42,B_CACHE,21,100000,17389,17.39,82611,82.61,0,0.00,30.234,0,0,0,35.610,0,0,0,0,0,0,0,0,6.44,0,1.0,0,0
22:17:42,B_CACHE,22,100000,17389,17.39,82611,82.61,0,0.00,33.218,0,0,0,41.447,0,0,0,0,0,0,0,0,7.81,0,1.0,0,0
22:17:49,A_BASELINE,4,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,1.0,0,0
22:17:57,B_CACHE,9,100000,17389,17.39,82611,82.61,0,0.00,57.836,0,0,0,38.177,0,0,0,0,0,0,0,0,7.13,0,1.0,0,0
22:18:04,A_BASELINE,2,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,1.0,0,0
22:18:11,C_FULL,20,100000,17389,17.39,82611,82.61,0,0.00,31.323,0,0,0,37.550,0,0,0,0,0,0,0,0,6.63,0,1.0,0,0
22:18:18,B_CACHE,27,100000,17389,17.39,82611,82.61,0,0.00,31.474,0,0,0,33.327,0,0,0,0,0,0,0,0,6.01,0,1.0,0,0
22:18:25,C_FULL,21,100000,17389,17.39,82611,82.61,0,0.00,29.664,0,0,0,42.419,0,0,0,0,0,0,0,0,7.09,0,1.0,0,0
22:18:25,C_FULL,5,100000,17389,17.39,82611,82.61,0,0.00,31.612,0,0,0,38.794,0,0,0,0,0,0,0,0,6.72,0,1.0,0,0
22:18:25,C_FULL,6,100000,17389,17.39,82611,82.61,0,0.00,32.447,0,0,0,37.190,0,0,0,0,0,0,0,0,6.78,0,1.0,0,0
22:18:32,A_BASELINE,11,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,1.0,0,0
22:18:39,B_CACHE,19,100000,17389,17.39,82611,82.61,0,0.00,33.480,0,0,0,35.637,0,0,0,0,0,0,0,0,6.51,0,1.0,0,0
22:18:46,C_FULL,15,100000,17389,17.39,82611,82.61,0,0.00,29.963,0,0,0,44.775,0,0,0,0,0,0,0,0,7.25,0,1.0,0,0
22:18:54,A_BASELINE,26,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,1.0,0,0
22:19:01,B_CACHE,30,100000,17389,17.39,82611,82.61,0,0.00,33.805,0,0,0,44.199,0,0,0,0,0,0,0,0,7.23,0,1.0,0,0
22:19:08,C_FULL,22,100000,17389,17.39,82611,82.61,0,0.00,37.806,0,0,0,36.985,0,0,0,0,0,0,0,0,6.79,0,1.0,0,0
22:19:15,B_CACHE,1,100000,17389,17.39,82611,82.61,0,0.00,31.316,0,0,0,37.783,0,0,0,0,0,0,0,0,6.79,0,1.0,0,0
22:19:15,B_CACHE,28,100000,17389,17.39,82611,82.61,0,0.00,29.986,0,0,0,36.322,0,0,0,0,0,0,0,0,6.50,0,1.0,0,0
22:19:22,C_FULL,16,100000,17389,17.39,82611,82.61,0,0.00,30.051,0,0,0,35.815,0,0,0,0,0,0,0,0,6.59,0,1.0,0,0
22:19:22,C_FULL,17,100000,17389,17.39,82611,82.61,0,0.00,29.653,0,0,0,34.474,0,0,0,0,0,0,0,0,6.29,0,1.0,0,0
22:19:29,B_CACHE,13,100000,17389,17.39,82611,82.61,0,0.00,29.960,0,0,0,38.070,0,0,0,0,0,0,0,0,6.67,0,1.0,0,0
22:19:36,C_FULL,9,100000,17389,17.39,82611,82.61,0,0.00,30.637,0,0,0,36.579,0,0,0,0,0,0,0,0,6.54,0,1.0,0,0
22:19:43,B_CACHE,15,100000,17389,17.39,82611,82.61,0,0.00,30.061,0,0,0,37.198,0,0,0,0,0,0,0,0,6.81,0,1.0,0,0
22:19:50,A_BASELINE,21,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,1.0,0,0
22:19:56,C_FULL,11,100000,17389,17.39,82611,82.61,0,0.00,31.095,0,0,0,37.700,0,0,0,0,0,0,0,0,6.70,0,1.0,0,0
22:20:03,A_BASELINE,17,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,1.0,0,0
22:20:09,B_CACHE,23,100000,17389,17.39,82611,82.61,0,0.00,31.225,0,0,0,40.080,0,0,0,0,0,0,0,0,7.63,0,1.0,0,0
22:20:17,A_BASELINE,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,1.0,0,0
22:20:25,C_FULL,4,100000,17389,17.39,82611,82.61,0,0.00,31.493,0,0,0,37.485,0,0,0,0,0,0,0,0,7.19,0,1.0,0,0
22:20:34,B_CACHE,17,100000,17389,17.39,82611,82.61,0,0.00,30.073,0,0,0,38.426,0,0,0,0,0,0,0,0,7.23,0,1.0,0,0
22:20:34,B_CACHE,7,100000,17389,17.39,82611,82.61,0,0.00,39.313,0,0,0,38.544,0,0,0,0,0,0,0,0,7.06,0,1.0,0,0
22:20:41,A_BASELINE,24,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,1.0,0,0
22:20:41,A_BASELINE,29,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,1.0,0,0
22:20:41,A_BASELINE,6,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60,0,1.0,0,0
22:20:48,B_CACHE,16,100000,17389,17.39,82611,82.61,0,0.00,30.785,0,0,0,46.931,0,0,0,0,0,0,0,0,7.46,0,1.0,0,0
22:20:48,B_CACHE,18,100000,17389,17.39,82611,82.61,0,0.00,30.465,0,0,0,37.055,0,0,0,0,0,0,0,0,6.57,0,1.0,0,0
22:20:48,B_CACHE,26,100000,17389,17.39,82611,82.61,0,0.00,30.275,0,0,0,37.551,0,0,0,0,0,0,0,0,6.61,0,1.0,0,0
22:20:55,A_BASELINE,22,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,1.0,0,0
22:21:02,C_FULL,10,100000,17389,17.39,82611,82.61,0,0.00,29.947,0,0,0,36.413,0,0,0,0,0,0,0,0,6.51,0,1.0,0,0
22:21:08,A_BASELINE,15,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,1.0,0,0
22:21:08,A_BASELINE,3,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,0,1.0,0,0
22:21:09,A_BASELINE,16,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,1.0,0,0
22:21:09,A_BASELINE,30,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,1.0,0,0
22:21:17,B_CACHE,5,100000,17389,17.39,82611,82.61,0,0.00,38.244,0,0,0,39.854,0,0,0,0,0,0,0,0,7.04,0,1.0,0,0
22:21:17,B_CACHE,6,100000,17389,17.39,82611,82.61,0,0.00,32.858,0,0,0,37.195,0,0,0,0,0,0,0,0,6.64,0,1.0,0,0
22:21:25,C_FULL,26,100000,17389,17.39,82611,82.61,0,0.00,31.827,0,0,0,47.484,0,0,0,0,0,0,0,0,9.91,0,1.0,0,0
22:21:33,A_BASELINE,14,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,1.0,0,0
22:21:33,A_BASELINE,27,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,1.0,0,0
22:21:33,A_BASELINE,5,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,1.0,0,0
22:21:33,A_BASELINE,8,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,1.0,0,0
22:21:40,B_CACHE,11,100000,17389,17.39,82611,82.61,0,0.00,30.844,0,0,0,36.251,0,0,0,0,0,0,0,0,6.54,0,1.0,0,0
22:21:47,C_FULL,19,100000,17389,17.39,82611,82.61,0,0.00,29.989,0,0,0,37.814,0,0,0,0,0,0,0,0,6.63,0,1.0,0,0
22:21:53,A_BASELINE,12,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,1.0,0,0
22:22:02,C_FULL,1,100000,17389,17.39,82611,82.61,0,0.00,34.557,0,0,0,78.072,0,0,0,0,0,0,0,0,12.13,0,1.0,0,0
22:22:02,C_FULL,8,100000,17389,17.39,82611,82.61,0,0.00,31.675,0,0,0,115.852,0,0,0,0,0,0,0,0,14.73,0,1.0,0,0
22:22:10,B_CACHE,2,100000,17389,17.39,82611,82.61,0,0.00,39.729,0,0,0,37.056,0,0,0,0,0,0,0,0,6.78,0,1.0,0,0
22:22:10,B_CACHE,25,100000,17389,17.39,82611,82.61,0,0.00,49.023,0,0,0,40.310,0,0,0,0,0,0,0,0,7.86,0,1.0,0,0
22:22:10,B_CACHE,4,100000,17389,17.39,82611,82.61,0,0.00,30.381,0,0,0,36.233,0,0,0,0,0,0,0,0,6.51,0,1.0,0,0
22:22:18,A_BASELINE,20,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,1.0,0,0
22:22:27,C_FULL,2,100000,17389,17.39,82611,82.61,0,0.00,31.377,0,0,0,36.459,0,0,0,0,0,0,0,0,6.53,0,1.0,0,0
22:22:27,C_FULL,28,100000,17389,17.39,82611,82.61,0,0.00,30.519,0,0,0,37.379,0,0,0,0,0,0,0,0,6.69,0,1.0,0,0
22:22:35,B_CACHE,10,100000,17389,17.39,82611,82.61,0,0.00,34.606,0,0,0,47.563,0,0,0,0,0,0,0,0,7.59,0,1.0,0,0
22:22:35,B_CACHE,12,100000,17389,17.39,82611,82.61,0,0.00,34.658,0,0,0,38.159,0,0,0,0,0,0,0,0,6.74,0,1.0,0,0
22:22:43,C_FULL,18,100000,17389,17.39,82611,82.61,0,0.00,30.132,0,0,0,35.890,0,0,0,0,0,0,0,0,6.50,0,1.0,0,0
22:22:43,C_FULL,27,100000,17389,17.39,82611,82.61,0,0.00,32.840,0,0,0,37.462,0,0,0,0,0,0,0,0,6.65,0,1.0,0,0
22:22:43,C_FULL,29,100000,17389,17.39,82611,82.61,0,0.00,34.723,0,0,0,37.082,0,0,0,0,0,0,0,0,6.63,0,1.0,0,0
22:22:51,B_CACHE,24,100000,17389,17.39,82611,82.61,0,0.00,32.021,0,0,0,47.135,0,0,0,0,0,0,0,0,7.43,0,1.0,0,0
22:22:58,A_BASELINE,7,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,1.0,0,0
22:23:05,C_FULL,3,100000,17389,17.39,82611,82.61,0,0.00,30.443,0,0,0,36.492,0,0,0,0,0,0,0,0,6.62,0,1.0,0,0
22:23:05,C_FULL,7,100000,17389,17.39,82611,82.61,0,0.00,30.933,0,0,0,37.518,0,0,0,0,0,0,0,0,6.85,0,1.0,0,0
22:23:12,A_BASELINE,18,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,1.0,0,0
22:23:19,C_FULL,24,100000,17389,17.39,82611,82.61,0,0.00,32.274,0,0,0,37.287,0,0,0,0,0,0,0,0,6.73,0,1.0,0,0
22:23:25,B_CACHE,8,100000,17389,17.39,82611,82.61,0,0.00,31.367,0,0,0,36.496,0,0,0,0,0,0,0,0,6.61,0,1.0,0,0
22:23:32,C_FULL,25,100000,17389,17.39,82611,82.61,0,0.00,30.510,0,0,0,36.714,0,0,0,0,0,0,0,0,6.68,0,1.0,0,0
22:23:32,C_FULL,30,100000,17389,17.39,82611,82.61,0,0.00,44.335,0,0,0,40.132,0,0,0,0,0,0,0,0,7.09,0,1.0,0,0
22:23:39,B_CACHE,20,100000,17389,17.39,82611,82.61,0,0.00,29.999,0,0,0,40.828,0,0,0,0,0,0,0,0,7.46,0,1.0,0,0
22:23:46,C_FULL,12,100000,17389,17.39,82611,82.61,0,0.00,30.352,0,0,0,36.105,0,0,0,0,0,0,0,0,6.57,0,1.0,0,0
22:23:46,C_FULL,14,100000,17389,17.39,82611,82.61,0,0.00,32.199,0,0,0,37.732,0,0,0,0,0,0,0,0,6.71,0,1.0,0,0
22:23:46,C_FULL,23,100000,17389,17.39,82611,82.61,0,0.00,31.355,0,0,0,37.735,0,0,0,0,0,0,0,0,6.86,0,1.0,0,0
22:23:53,A_BASELINE,13,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,1.0,0,0
22:23:53,A_BASELINE,28,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,1.0,0,0
22:24:00,B_CACHE,3,100000,17389,17.39,82611,82.61,0,0.00,30.658,0,0,0,42.995,0,0,0,0,0,0,0,0,7.17,0,1.0,0,0
