timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,misses,miss_percent,cache_hit_latency_ns,cache_hit_stddev_ns,cache_hit_min_ns,cache_hit_max_ns,bucket_search_latency_ns,bucket_search_stddev_ns,bucket_search_min_ns,bucket_search_max_ns,context_predictions_total,context_correct,context_accuracy_percent,window_diversity_percent,window_final_size_bytes,total_runtime_ms,memory_allocated_bytes,speedup_vs_baseline,ci_lower_95,ci_upper_95
STANDARD,B_CACHE,1,Iterations:,17389,17.39,82611,82.61,0,0.00,42.692,0.000,21.000,122905.000,36.633,0.000,26.000,13321.000,0,0,0,0,0,6.74,0,.858,0,0
STANDARD,A_BASELINE,2,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30,0,1.0,0,0
STANDARD,B_CACHE,3,Iterations:,17389,17.39,82611,82.61,0,0.00,31.944,0.000,19.000,3333.000,42.728,0.000,22.000,285386.000,0,0,0,0,0,7.00,0,1.337,0,0
STANDARD,B_CACHE,4,Iterations:,17389,17.39,82611,82.61,0,0.00,29.905,0.000,21.000,7067.000,36.191,0.000,26.000,36601.000,0,0,0,0,0,6.45,0,1.210,0,0
STANDARD,B_CACHE,5,Iterations:,17389,17.39,82611,82.61,0,0.00,30.104,0.000,19.000,3589.000,34.959,0.000,22.000,6028.000,0,0,0,0,0,6.19,0,1.161,0,0
STANDARD,C_FULL,6,Iterations:,17389,17.39,82611,82.61,0,0.00,32.522,0.000,21.000,664.000,34.956,0.000,26.000,14126.000,0,0,0,0,0,6.37,0,1.074,0,0
STANDARD,C_FULL,7,Iterations:,17389,17.39,82611,82.61,0,0.00,28.499,0.000,21.000,187.000,34.284,0.000,26.000,19346.000,0,0,0,0,0,6.15,0,1.202,0,0
STANDARD,C_FULL,8,Iterations:,17389,17.39,82611,82.61,0,0.00,27.256,0.000,17.000,2519.000,31.834,0.000,21.000,3769.000,0,0,0,0,0,5.81,0,1.167,0,0
STANDARD,C_FULL,9,Iterations:,17389,17.39,82611,82.61,0,0.00,29.583,0.000,21.000,185.000,33.741,0.000,26.000,3113.000,0,0,0,0,0,6.18,0,1.140,0,0
STANDARD,C_FULL,10,Iterations:,17389,17.39,82611,82.61,0,0.00,27.464,0.000,19.000,217.000,32.897,0.000,22.000,13671.000,0,0,0,0,0,5.90,0,1.197,0,0
STANDARD,C_FULL,11,Iterations:,17389,17.39,82611,82.61,0,0.00,29.980,0.000,22.000,159.000,35.519,0.000,27.000,2938.000,0,0,0,0,0,6.47,0,1.184,0,0
STANDARD,C_FULL,12,Iterations:,17389,17.39,82611,82.61,0,0.00,28.409,0.000,21.000,131.000,34.351,0.000,26.000,18250.000,0,0,0,0,0,6.19,0,1.209,0,0
STANDARD,C_FULL,13,Iterations:,17389,17.39,82611,82.61,0,0.00,33.127,0.000,21.000,54359.000,34.217,0.000,26.000,3229.000,0,0,0,0,0,6.28,0,1.032,0,0
STANDARD,C_FULL,14,Iterations:,17389,17.39,82611,82.61,0,0.00,30.939,0.000,23.000,146.000,36.115,0.000,27.000,5287.000,0,0,0,0,0,6.47,0,1.167,0,0
