"config","n","mean_ns","sd_ns","se_ns","cv_pct","min_ns","max_ns","rank"
"0100011",300,31592403.7002266,4778673.39058253,275896.836842213,15.1260202798316,25480559.8755832,61699399.3796934,1
"0000000",300,31672085.5849159,5490901.25246569,317017.331620472,17.3367214411695,25350623.5805377,74927391.7938236,2
"0010111",300,31673507.7398978,4697778.00409095,271226.339525501,14.8318842442997,25213334.323928,56864819.8711397,3
"0000101",300,31826414.735404,5251060.12159743,303170.097473519,16.4990626976155,25251962.8526994,57667166.300822,4
"0000011",300,31841329.3079168,5081556.77829141,293383.817384892,15.9589969663358,25826542.1977338,68788469.7053988,5
"0110111",300,31908687.7746279,5592150.46214261,322862.957466693,17.5254792727302,25929643.8231504,77780370.001333,6
"0010001",300,31921582.0056817,4887109.02341435,282157.371022733,15.3097331534023,25144172.8042657,53901285.1544101,7
"0110000",300,31923186.4073347,5800203.81224262,334874.923235297,18.1692508330245,24959591.628527,71349324.2141746,8
"0100111",300,31955625.8779827,5378161.60376251,310508.304967759,16.8300931557346,25338363.7911575,66962838.551433,9
"0110101",300,31956730.6179901,5780200.0196809,333720.003733265,18.0875825151742,25398177.5854255,80673534.6918463,10
"0100101",300,31962112.015167,6298255.53226419,363629.952697778,19.7053796985489,25112722.5132193,97222910.8055988,11
"0010110",300,31962118.0334326,4670242.04649662,269636.550272553,14.611804016278,24986761.1855143,56123015.2517218,12
"0110110",300,31966332.3238984,5583029.99620816,322336.387120454,17.465344286727,25323206.4981115,71325197.7640524,13
"0100110",300,32002505.8371266,4833260.77511982,279048.440957909,15.1027572644411,25256243.5867585,50645583.0579871,14
"0100000",300,32011835.847465,5522716.80054338,318854.203145179,17.2521089601324,25457379.8462564,69013324.7260609,15
"0010000",300,32070592.9993157,5355660.37442627,309209.195886322,16.6995988335499,25128636.9429016,65797852.7936014,16
"0110011",300,32081170.6349345,6140739.46615961,354535.758381061,19.1412574560877,25601425.091313,91914247.28016,17
"0000100",300,32202960.6251174,6150107.1260545,355076.60047726,19.0979556123718,25023060.0630971,78108690.6554099,18
"0100010",300,32255681.9904792,5169329.317979,298451.3673265,16.0261045464946,26063030.9140191,56662285.8209287,19
"0010010",300,32279402.9356913,5385356.48197313,310923.701454928,16.6835690632262,25780691.7502777,66348247.4472339,20
"0110001",300,32293074.9790358,4647417.40341175,268318.768889633,14.3913746412467,25273439.3245945,44096118.1888469,21
"0110100",300,32301658.7729779,6776133.13717601,391220.229081331,20.9776630506809,25865971.5441013,89967648.9882248,22
"0100100",300,32304223.3791957,7587553.48562899,438067.604741858,23.4878065216558,25004714.0599867,121714737.59609,23
"0110010",300,32333812.6672177,5531892.79952513,319383.979693398,17.1086931703967,25789646.347034,57850728.2541657,24
"0000110",300,32347771.7915367,7108550.39854089,410412.34861456,21.9753943002675,25303098.6962897,80447616.7678294,25
"0000010",300,32378247.2691639,5833603.92905132,336803.279878344,18.0170466935901,25410932.4256832,69490830.4181293,26
"0000111",300,32417701.8048848,6001420.99242865,346492.202549895,18.5127897978392,24999283.0606532,68334959.4205732,27
"0000001",300,32426172.9019507,8722810.11504535,503611.676801142,26.900523047913,25120992.7749389,116474493.013997,28
"0010101",300,32518860.4041413,7434615.58514237,429237.730940333,22.8624727089008,25132437.186403,106152609.414797,29
"0010100",300,32604176.3560927,6293953.61166536,363381.581196201,19.3041331359662,25113537.8911353,77676642.2821595,30
"0100001",300,32621872.5806591,7643761.95617098,441312.802301673,23.431401545915,25400929.485892,121983754.067096,31
"0010011",300,32634456.3371577,5613227.20905453,324079.824017017,17.2003086279801,24714526.8838036,67385961.448567,32
"1100111",300,34143307.443691,5222022.81717026,301493.627920762,15.2944257839765,27167853.4299045,55297881.9213508,33
"1100100",300,34281084.5195527,5916309.70582133,341578.300126514,17.2582337715917,26986926.8944679,80004400.6291935,34
"1010101",300,34290417.9758335,6670593.48620646,385126.894491587,19.4532288609244,27238791.3085981,103900943.299711,35
"1110100",300,34295660.6616959,5234665.85904847,302223.574283938,15.263347484934,27043828.6247501,62529221.1330815,36
"1010010",300,34299319.9127661,5796094.15137924,334637.651854722,16.8985687358249,26840187.9902244,69861332.3190402,37
"1000010",300,34304223.1005021,6144578.76945653,354757.420660259,17.9120184458181,27434540.2497223,94106376.2470562,38
"1000110",300,34310624.5936933,5520379.55036902,318719.261943446,16.0894172453618,27340466.0226616,63425204.9802266,39
"1100000",300,34317680.913006,5665280.38120577,327085.115312386,16.5083427273744,27048240.4016885,65692567.1201955,40
"1000101",300,34327194.7231163,5540282.84462755,319868.379173238,16.1396318263568,26911941.246834,60310752.5474339,41
"1000011",300,34336269.685184,6468649.63761287,373467.660956917,18.8391158880141,27034247.9342368,92555105.2015108,42
"1000111",300,34366301.6069318,7143004.52969828,412401.558804402,20.7849090408306,27107879.4721173,112713242.049322,43
"1100110",300,34375984.7535629,5903600.08348922,340844.50973904,17.1736173547067,27219134.8766941,86639057.9302377,44
"1110001",300,34380977.2445945,5557517.25311034,320863.408210925,16.1645121765238,26778728.8798045,57186792.2257276,45
"1010001",300,34423368.1600356,5170285.43489762,298506.568762534,15.0196965353906,27130215.0028882,51407000.4283493,46
"1000001",300,34430119.0523706,6615947.66442143,381971.916499819,19.2155817247048,26755476.048878,83625057.1446345,47
"1110101",300,34430858.0371414,6611007.62037508,381686.702923822,19.2008215805823,26910150.3274828,77468473.388136,48
"1000100",300,34451243.8925394,6019548.93665162,347538.819897594,17.4726606546569,27052579.3770273,75521278.1230838,49
"1000000",300,34478201.6939406,6012295.77362531,347120.058335022,17.437962185487,26254513.6814041,71556357.4032437,50
"1110111",300,34604595.6087506,5354623.18817928,309149.313910432,15.4737343233834,27514272.561653,57072828.6016441,51
