timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,misses,miss_percent,cache_hit_latency_ns,cache_hit_stddev_ns,cache_hit_min_ns,cache_hit_max_ns,bucket_search_latency_ns,bucket_search_stddev_ns,bucket_search_min_ns,bucket_search_max_ns,context_predictions_total,context_correct,context_accuracy_percent,window_diversity_percent,window_final_size_bytes,total_runtime_ms,memory_allocated_bytes,speedup_vs_baseline,ci_lower_95,ci_upper_95,cpu_temp_before_c,cpu_freq_before_mhz,cpu_temp_after_c,cpu_freq_after_mhz
2025-11-07T06:40:50,A_BASELINE,8,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:40:58,B_CACHE,21,100000,17389,17.39,82611,82.61,0,0.00,30.366,0.000,23.000,294.000,36.398,0.000,27.000,6738.000,0,0,0,0,0,6.58,0,1.0,0,0,27,2900,27,2901
2025-11-07T06:41:06,A_BASELINE,17,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,1.0,0,0,27,2900,27,2904
2025-11-07T06:41:14,B_CACHE,25,100000,17389,17.39,82611,82.61,0,0.00,32.349,0.000,22.000,20888.000,39.897,0.000,27.000,176858.000,0,0,0,0,0,7.71,0,1.0,0,0,27,2899,27,2898
2025-11-07T06:41:22,C_FULL,23,100000,17389,17.39,82611,82.61,0,0.00,30.667,0.000,22.000,227.000,36.810,0.000,27.000,19846.000,0,0,0,0,0,6.57,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:41:31,B_CACHE,7,100000,17389,17.39,82611,82.61,0,0.00,30.711,0.000,21.000,10748.000,45.692,0.000,26.000,510307.000,0,0,0,0,0,8.08,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:41:31,B_CACHE,16,100000,17389,17.39,82611,82.61,0,0.00,41.878,0.000,21.000,166945.000,48.585,0.000,26.000,669099.000,0,0,0,0,0,7.72,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:41:31,B_CACHE,13,100000,17389,17.39,82611,82.61,0,0.00,29.487,0.000,21.000,325.000,34.518,0.000,26.000,13407.000,0,0,0,0,0,6.27,0,1.0,0,0,27,2929,27,2899
2025-11-07T06:41:31,B_CACHE,30,100000,17389,17.39,82611,82.61,0,0.00,32.452,0.000,22.000,20862.000,39.478,0.000,27.000,261312.000,0,0,0,0,0,6.86,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:41:39,C_FULL,26,100000,17389,17.39,82611,82.61,0,0.00,31.247,0.000,19.000,125.000,38.571,0.000,22.000,16513.000,0,0,0,0,0,6.81,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:41:53,A_BASELINE,28,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.86,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:42:05,C_FULL,16,100000,17389,17.39,82611,82.61,0,0.00,130.373,0.004,22.000,1657296.000,64.617,0.001,27.000,2060353.000,0,0,0,0,0,10.78,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:42:14,B_CACHE,22,100000,17389,17.39,82611,82.61,0,0.00,258.548,8.413,22.000,3866905.000,90.449,-0.001,27.000,2029698.000,0,0,0,0,0,19.26,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:42:26,A_BASELINE,24,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:42:26,A_BASELINE,18,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,1.0,0,0,27,2898,27,2899
2025-11-07T06:42:37,B_CACHE,8,100000,17389,17.39,82611,82.61,0,0.00,35.626,0.000,22.000,81238.000,42.989,0.000,27.000,211435.000,0,0,0,0,0,7.56,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:42:45,C_FULL,12,100000,17389,17.39,82611,82.61,0,0.00,31.437,0.000,22.000,4903.000,135.134,-0.009,27.000,4021105.000,0,0,0,0,0,33.15,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:42:54,A_BASELINE,19,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:43:03,C_FULL,4,100000,17389,17.39,82611,82.61,0,0.00,30.438,0.000,22.000,404.000,41.603,0.000,27.000,139236.000,0,0,0,0,0,7.11,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:43:11,A_BASELINE,3,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:43:22,C_FULL,14,100000,17389,17.39,82611,82.61,0,0.00,31.457,0.000,22.000,2531.000,116.060,-0.002,27.000,2717229.000,0,0,0,0,0,13.19,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:43:31,B_CACHE,9,100000,17389,17.39,82611,82.61,0,0.00,32.201,0.000,22.000,8731.000,56.266,0.001,26.000,1347629.000,0,0,0,0,0,10.49,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:43:42,A_BASELINE,11,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:43:42,A_BASELINE,10,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:43:50,C_FULL,22,100000,17389,17.39,82611,82.61,0,0.00,31.499,0.000,22.000,6449.000,38.067,0.000,27.000,140300.000,0,0,0,0,0,6.76,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:43:58,B_CACHE,1,100000,17389,17.39,82611,82.61,0,0.00,33.302,0.000,22.000,396.000,37.471,0.000,27.000,60383.000,0,0,0,0,0,6.81,0,1.0,0,0,27,2900,27,2956
2025-11-07T06:43:58,B_CACHE,28,100000,17389,17.39,82611,82.61,0,0.00,31.306,0.000,22.000,365.000,38.496,0.000,27.000,72313.000,0,0,0,0,0,6.84,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:44:06,C_FULL,15,100000,17389,17.39,82611,82.61,0,0.00,33.632,0.000,22.000,332.000,43.326,0.000,27.000,329014.000,0,0,0,0,0,7.41,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:44:06,C_FULL,1,100000,17389,17.39,82611,82.61,0,0.00,31.324,0.000,22.000,8583.000,42.539,0.000,27.000,192986.000,0,0,0,0,0,7.79,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:44:06,C_FULL,30,100000,17389,17.39,82611,82.61,0,0.00,31.638,0.000,23.000,14737.000,60.470,-0.001,27.000,1400820.000,0,0,0,0,0,8.59,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:44:14,A_BASELINE,13,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.67,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:44:24,C_FULL,29,100000,17389,17.39,82611,82.61,0,0.00,30.472,0.000,22.000,419.000,39.303,0.000,27.000,165139.000,0,0,0,0,0,10.45,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:44:33,B_CACHE,11,100000,17389,17.39,82611,82.61,0,0.00,31.116,0.000,22.000,1073.000,38.607,0.000,27.000,74425.000,0,0,0,0,0,8.14,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:44:33,B_CACHE,3,100000,17389,17.39,82611,82.61,0,0.00,37.613,0.000,22.000,56388.000,68.663,0.000,27.000,699609.000,0,0,0,0,0,12.57,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:44:41,A_BASELINE,29,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:44:49,C_FULL,6,100000,17389,17.39,82611,82.61,0,0.00,30.408,0.000,22.000,6837.000,40.529,0.000,27.000,163501.000,0,0,0,0,0,7.77,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:44:56,A_BASELINE,20,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:44:57,A_BASELINE,15,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:45:05,B_CACHE,14,100000,17389,17.39,82611,82.61,0,0.00,30.157,0.000,22.000,502.000,40.503,0.000,27.000,198289.000,0,0,0,0,0,6.95,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:45:05,B_CACHE,5,100000,17389,17.39,82611,82.61,0,0.00,30.042,0.000,22.000,188.000,41.768,0.000,27.000,158743.000,0,0,0,0,0,7.92,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:45:13,C_FULL,20,100000,17389,17.39,82611,82.61,0,0.00,32.916,0.000,22.000,45112.000,40.820,0.000,27.000,222165.000,0,0,0,0,0,7.02,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:45:22,A_BASELINE,16,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:45:30,C_FULL,3,100000,17389,17.39,82611,82.61,0,0.00,80.347,0.001,22.000,483051.000,111.026,-0.002,27.000,2523222.000,0,0,0,0,0,20.66,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:45:39,A_BASELINE,23,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:45:48,B_CACHE,6,100000,17389,17.39,82611,82.61,0,0.00,30.482,0.000,22.000,5251.000,37.689,0.000,27.000,17789.000,0,0,0,0,0,6.67,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:45:55,A_BASELINE,30,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:45:55,A_BASELINE,7,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:46:04,C_FULL,19,100000,17389,17.39,82611,82.61,0,0.00,30.332,0.000,22.000,1162.000,38.193,0.000,26.000,65362.000,0,0,0,0,0,6.91,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:46:04,C_FULL,5,100000,17389,17.39,82611,82.61,0,0.00,31.443,0.000,22.000,10165.000,36.356,0.000,27.000,23982.000,0,0,0,0,0,6.66,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:46:12,B_CACHE,15,100000,17389,17.39,82611,82.61,0,0.00,30.842,0.000,21.000,151.000,35.820,0.000,26.000,22810.000,0,0,0,0,0,6.45,0,1.0,0,0,27,2897,27,2898
2025-11-07T06:46:12,B_CACHE,29,100000,17389,17.39,82611,82.61,0,0.00,30.801,0.000,22.000,2675.000,35.598,0.000,27.000,3600.000,0,0,0,0,0,6.45,0,1.0,0,0,27,2899,27,2900
2025-11-07T06:46:20,C_FULL,13,100000,17389,17.39,82611,82.61,0,0.00,33.871,0.000,22.000,43089.000,36.524,0.000,27.000,5143.000,0,0,0,0,0,6.68,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:46:20,C_FULL,9,100000,17389,17.39,82611,82.61,0,0.00,34.028,0.000,21.000,72581.000,36.073,0.000,26.000,19922.000,0,0,0,0,0,6.63,0,1.0,0,0,27,2900,27,2907
2025-11-07T06:46:20,C_FULL,25,100000,17389,17.39,82611,82.61,0,0.00,30.587,0.000,22.000,440.000,37.276,0.000,27.000,123216.000,0,0,0,0,0,6.67,0,1.0,0,0,27,2895,27,2900
2025-11-07T06:46:28,A_BASELINE,4,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:46:37,B_CACHE,17,100000,17389,17.39,82611,82.61,0,0.00,32.538,0.000,22.000,341.000,36.896,0.000,27.000,14930.000,0,0,0,0,0,6.63,0,1.0,0,0,27,2891,27,2899
2025-11-07T06:46:46,C_FULL,21,100000,17389,17.39,82611,82.61,0,0.00,30.650,0.000,22.000,2498.000,39.121,0.000,27.000,108932.000,0,0,0,0,0,6.87,0,1.0,0,0,27,2899,27,2907
2025-11-07T06:46:46,C_FULL,17,100000,17389,17.39,82611,82.61,0,0.00,30.303,0.000,22.000,173.000,38.824,0.000,27.000,99899.000,0,0,0,0,0,6.88,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:46:53,B_CACHE,20,100000,17389,17.39,82611,82.61,0,0.00,30.650,0.000,22.000,130.000,36.287,0.000,27.000,39469.000,0,0,0,0,0,6.51,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:46:53,B_CACHE,26,100000,17389,17.39,82611,82.61,0,0.00,30.993,0.000,22.000,3133.000,58.184,-0.001,27.000,1472320.000,0,0,0,0,0,8.41,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:47:01,C_FULL,11,100000,17389,17.39,82611,82.61,0,0.00,34.282,0.000,22.000,58689.000,46.202,0.000,26.000,272892.000,0,0,0,0,0,7.63,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:47:08,A_BASELINE,27,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93,0,1.0,0,0,27,2899,27,2899
2025-11-07T06:47:15,B_CACHE,18,100000,17389,17.39,82611,82.61,0,0.00,37.151,0.000,21.000,44814.000,38.137,0.000,26.000,51376.000,0,0,0,0,0,7.19,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:47:15,B_CACHE,12,100000,17389,17.39,82611,82.61,0,0.00,32.688,0.000,22.000,8639.000,36.436,0.000,27.000,6622.000,0,0,0,0,0,6.61,0,1.0,0,0,27,2898,27,2899
2025-11-07T06:47:22,C_FULL,2,100000,17389,17.39,82611,82.61,0,0.00,31.761,0.000,22.000,24055.000,37.006,0.000,27.000,35817.000,0,0,0,0,0,6.61,0,1.0,0,0,27,2900,27,2899
2025-11-07T06:47:30,A_BASELINE,25,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,1.0,0,0,27,2900,27,2900
2025-11-07T06:47:30,A_BASELINE,14,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,1.0,0,0,27,2965,27,2899
