"Df","Sum Sq","Mean Sq","F value","Pr(>F)","term"
1,1973387702008009,1973387702008009,24.9173271637935,6.2539961298374e-07,"L2_rolling_window:L5_window_inference"
1,1756750705992522,1756750705992522,22.181922002402,2.5690196977828e-06,"L4_pipelining_metrics:L5_window_inference"
1,539234655739889,539234655739889,6.80874129369226,0.0091070067477179,"L5_window_inference:L6_decay_inference"
1,298338640415762,298338640415762,3.76702535506666,0.0523467233356623,"L1_heat_tracking:L5_window_inference"
1,218543238462191,218543238462191,2.75947466717073,0.0967628651479745,"L1_heat_tracking:L6_decay_inference"
1,177895983182218,177895983182218,2.24623494388132,0.134023399227677,"L2_rolling_window:L3_linear_decay"
1,160219854271673,160219854271673,2.02304419094144,0.155010741404001,"L2_rolling_window:L6_decay_inference"
1,145845572460029,145845572460029,1.84154479156806,0.174850978184067,"L1_heat_tracking:L3_linear_decay"
1,141618542463544,141618542463544,1.78817145329985,0.181229530571269,"L3_linear_decay:L4_pipelining_metrics"
1,106899894424700,106899894424700,1.34979033286001,0.245388088414035,"L3_linear_decay:L5_window_inference"
1,97625926262890.5,97625926262890.5,1.23269094151422,0.26695493596867,"L3_linear_decay:L7_adaptive_heartrate"
1,83390212789137,83390212789137,1.0529411996492,0.304896297628527,"L3_linear_decay:L6_decay_inference"
1,66360986386937.7,66360986386937.7,0.83791867509503,0.360051068898774,"L6_decay_inference:L7_adaptive_heartrate"
1,51947152281747.2,51947152281747.2,0.655919861725401,0.41805504457414,"L5_window_inference:L7_adaptive_heartrate"
1,44680038636840.4,44680038636840.4,0.564160372172304,0.452635537196088,"L4_pipelining_metrics:L7_adaptive_heartrate"
1,33407656405794.6,33407656405794.6,0.421827653831912,0.516065928075101,"L1_heat_tracking:L2_rolling_window"
1,29312356192865.6,29312356192865.6,0.3701176248621,0.542976693436786,"L2_rolling_window:L7_adaptive_heartrate"
1,10848116563301.1,10848116563301.1,0.136975653209804,0.711327052000109,"L4_pipelining_metrics:L6_decay_inference"
1,5288739897424.82,5288739897424.82,0.0667792052085097,0.796099369697868,"L1_heat_tracking:L7_adaptive_heartrate"
1,4090714635162.99,4090714635162.99,0.0516521283650225,0.820225270073826,"L1_heat_tracking:L4_pipelining_metrics"
1,1205490749684.76,1205490749684.76,0.015221341134465,0.901816867544443,"L2_rolling_window:L4_pipelining_metrics"
