tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat,window_width,predicted_label_hits,estimated_jitter_ns
0,525366326188582,525366326188582,0,0,0,0,0.000020,4096,0,525366326178582.00
0,525366326287697,99115,0,0,0,0,0.000019,4096,0,89115.00
0,525366326360074,72377,0,0,0,4,0.000153,4096,0,62377.00
0,525366326434572,74498,0,0,0,11,0.000222,4096,0,64498.00
0,525366326505153,70581,0,0,0,12,0.000238,4096,0,60581.00
0,525366326577996,72843,0,0,0,13,0.000247,4096,0,62843.00
0,525366326650006,72010,0,0,0,13,0.000277,4096,0,62010.00
0,525366326722004,71998,0,0,0,10,0.000256,4096,0,61998.00
0,525366326793971,71967,0,0,0,8,0.000341,4096,0,61967.00
0,525366326865913,71942,0,0,0,4,0.000471,4096,0,61942.00
0,525366326935369,69456,0,0,0,7,0.000298,4096,0,59456.00
0,525366327009117,73748,0,0,0,8,0.000254,4096,0,63748.00
0,525366327083674,74557,0,0,0,4,0.000479,4096,0,64557.00
0,525367476343626,525367476343626,0,0,0,0,0.000019,4096,0,525367476333626.00
0,525367476454522,110896,0,0,0,0,0.000031,4096,0,100896.00
0,525367476538118,83596,0,0,0,8,0.000193,4096,0,73596.00
0,525367476618197,80079,0,0,0,11,0.000225,4096,0,70079.00
0,525367476692827,74630,0,0,0,12,0.000230,4096,0,64630.00
0,525367476766481,73654,0,0,0,11,0.000249,4096,0,63654.00
0,525367476840238,73757,0,0,0,11,0.000272,4096,0,63757.00
0,525367476913858,73620,0,0,0,8,0.000256,4096,0,63620.00
0,525367476986760,72902,0,0,0,7,0.000335,4096,0,62902.00
0,525367477059284,72524,0,0,0,5,0.000505,4096,0,62524.00
0,525367477140835,81551,0,0,0,6,0.000315,4096,0,71551.00
0,525367477215354,74519,0,0,0,7,0.000271,4096,0,64519.00
0,525367477288039,72685,0,0,0,5,0.000548,4096,0,62685.00
0,525367477369595,81556,0,0,0,4,0.000387,4096,0,71556.00
0,525367477440907,71312,0,0,0,3,0.000413,4096,0,61312.00
0,525367477514654,73747,0,0,0,3,0.000444,4096,0,63747.00
0,525367477587751,73097,0,0,0,3,0.000545,4096,0,63097.00
0,525367477661913,74162,0,0,0,2,0.000413,4096,0,64162.00
0,525367477733038,71125,0,0,0,6,0.000378,4096,0,61125.00
0,525367477806499,73461,0,0,0,8,0.000481,4096,0,63461.00
0,525367477879593,73094,0,0,0,13,0.000465,4096,0,63094.00
0,525367477951176,71583,0,0,0,12,0.000776,4096,0,61583.00
0,525367478008288,57112,0,0,0,11,0.000706,4096,0,47112.00
0,525367478083445,75157,0,0,0,0,0.000050,4096,0,65157.00
0,525367478153861,70416,0,0,0,0,0.000061,4096,0,60416.00
0,525367489413298,525367489413298,0,0,0,0,0.000020,4096,0,525367489403298.00
0,525367489509179,95881,0,0,0,0,0.000019,4096,0,85881.00
0,525367489580088,70909,0,0,0,4,0.000151,4096,0,60909.00
0,525367489654104,74016,0,0,0,11,0.000223,4096,0,64016.00
0,525367489724812,70708,0,0,0,12,0.000234,4096,0,60708.00
0,525367489796987,72175,0,0,0,13,0.000249,4096,0,62175.00
0,525367489868255,71268,0,0,0,13,0.000275,4096,0,61268.00
0,525367489939523,71268,0,0,0,10,0.000269,4096,0,61268.00
0,525367490022479,82956,0,0,0,8,0.000374,4096,0,72956.00
0,525367490098643,76164,0,0,0,4,0.000459,4096,0,66164.00
0,525367490169100,70457,0,0,0,7,0.000314,4096,0,60457.00
0,525367490240263,71163,0,0,0,8,0.000264,4096,0,61163.00
0,525367490312852,72589,0,0,0,4,0.000511,4096,0,62589.00
0,525367490392602,79750,0,0,0,4,0.000385,4096,0,69750.00
0,525367490476678,84076,0,0,0,3,0.000387,4096,0,74076.00
0,525367490551454,74776,0,0,0,3,0.000391,4096,0,64776.00
0,525367490634868,83414,0,0,0,3,0.000547,4096,0,73414.00
0,525367491253383,618515,0,0,0,0,0.000050,4096,0,608515.00
0,525367496828943,525367496828943,0,0,0,0,0.000020,4096,0,525367496818943.00
0,525367496928626,99683,0,0,0,0,0.000019,4096,0,89683.00
0,525367497016243,87617,0,0,0,4,0.000160,4096,0,77617.00
0,525367497093361,77118,0,0,0,11,0.000223,4096,0,67118.00
0,525367497166908,73547,0,0,0,12,0.000239,4096,0,63547.00
0,525367497239153,72245,0,0,0,13,0.000241,4096,0,62245.00
0,525367497311231,72078,0,0,0,13,0.000273,4096,0,62078.00
0,525367497383109,71878,0,0,0,10,0.000276,4096,0,61878.00
0,525367497468362,85253,0,0,0,7,0.000376,4096,0,75253.00
0,525367497544581,76219,0,0,0,5,0.000565,4096,0,66219.00
0,525367497615493,70912,0,0,0,4,0.000336,4096,0,60912.00
0,525367497685552,70059,0,0,0,7,0.000282,4096,0,60059.00
0,525367497758881,73329,0,0,0,5,0.000501,4096,0,63329.00
0,525367497831175,72294,0,0,0,5,0.000497,4096,0,62294.00
0,525367497902863,71688,0,0,0,4,0.000533,4096,0,61688.00
0,525367497974277,71414,0,0,0,4,0.000422,4096,0,61414.00
0,525367498013884,39607,0,0,0,4,0.000576,4096,0,29607.00
0,525367498090503,76619,0,0,0,2,0.000600,4096,0,66619.00
0,525367498170558,80055,0,0,0,2,0.000306,4096,0,70055.00
0,525367498241855,71297,0,0,0,7,0.000294,4096,0,61297.00
0,525367498323764,81909,0,0,0,10,0.000330,4096,0,71909.00
0,525367498395543,71779,0,0,0,13,0.000587,4096,0,61779.00
0,525367498473991,78448,0,0,0,14,0.000718,4096,0,68448.00
0,525367498561359,87368,0,0,0,0,0.000000,4096,0,77368.00
0,525367498641466,80107,0,0,0,0,0.000061,4096,0,70107.00
0,525367503289543,525367503289543,0,0,0,0,0.000020,4096,0,525367503279543.00
0,525367503389274,99731,0,0,0,0,0.000019,4096,0,89731.00
0,525367503462134,72860,0,0,0,3,0.000156,4096,0,62860.00
0,525367503533692,71558,0,0,0,10,0.000209,4096,0,61558.00
0,525367503604366,70674,0,0,0,10,0.000211,4096,0,60674.00
0,525367503674587,70221,0,0,0,10,0.000218,4096,0,60221.00
0,525367503744590,70003,0,0,0,10,0.000244,4096,0,60003.00
0,525367503814249,69659,0,0,0,8,0.000222,4096,0,59659.00
0,525367503883825,69576,0,0,0,7,0.000146,4096,0,59576.00
0,525367503954921,71096,0,0,0,0,0.000000,4096,0,61096.00
0,525367504061782,106861,0,0,0,0,0.000000,4096,0,96861.00
0,525367504136808,75026,0,0,0,0,0.000000,4096,0,65026.00
0,525367504207008,70200,0,0,0,0,0.000000,4096,0,60200.00
0,525367504278709,71701,0,0,0,0,0.000000,4096,0,61701.00
0,525367504356591,77882,0,0,0,2,0.000235,4096,0,67882.00
0,525367504430945,74354,0,0,0,4,0.000244,4096,0,64354.00
0,525367504502642,71697,0,0,0,4,0.000258,4096,0,61697.00
0,525367504575114,72472,0,0,0,4,0.000264,4096,0,62472.00
