tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat,window_width,prefetch_hits_delta,jitter_ns,l8_mode,K_approx,K_deviation
0,426705,0,0,0,0,0,0.000000,65536,0,0,0,1.000000,0.000000
1,50021088,49594383,1477,1929,90097,0,0.000000,65536,76996,48594383,0,1.000000,0.000000
2,51094688,1073600,0,0,2145,0,0.000000,65536,1903,73600,0,1.000000,0.000000
3,52153785,1059097,0,0,2081,0,0.000000,65536,1852,59097,0,1.000000,0.000000
4,53211433,1057648,0,0,2115,0,0.000000,65536,1886,57648,0,1.000000,0.000000
5,54278530,1067097,0,0,1818,0,0.000000,65536,1635,67097,4,1.000000,0.000000
6,55347209,1068679,0,0,1752,0,0.000000,65536,1591,68679,4,1.000000,0.000000
7,56407742,1060533,0,0,2051,0,0.000000,65536,1828,60533,4,1.000000,0.000000
8,57466131,1058389,0,0,2100,0,0.000000,65536,1867,58389,4,1.000000,0.000000
9,58500830,1034699,0,0,2050,0,0.000000,65536,1827,34699,4,1.000000,0.000000
10,59558188,1057358,0,0,2112,0,0.000000,65536,1877,57358,4,1.000000,0.000000
11,60639051,1080863,0,0,2155,0,0.000000,65536,1911,80863,4,1.000000,0.000000
12,61695636,1056585,0,0,2057,0,0.000000,65536,1833,56585,4,1.000000,0.000000
13,62755969,1060333,0,0,1864,0,0.000000,65536,1679,60333,4,1.000000,0.000000
14,63818123,1062154,0,0,1861,0,0.000000,65536,1644,62154,4,1.000000,0.000000
15,64884447,1066324,0,0,1860,0,0.000000,65536,1636,66324,4,1.000000,0.000000
16,65946605,1062158,0,0,1870,0,0.000000,65536,1658,62158,4,1.000000,0.000000
17,67004942,1058337,0,0,1921,0,0.000000,65536,1724,58337,4,1.000000,0.000000
18,68062243,1057301,0,0,1924,0,0.000000,65536,1729,57301,4,1.000000,0.000000
19,69121035,1058792,0,0,2006,0,0.000000,65536,1792,58792,4,1.000000,0.000000
20,70187556,1066521,0,0,1806,0,0.000000,65536,1616,66521,4,1.000000,0.000000
21,71281028,1093472,0,0,1702,0,0.000000,65536,1478,93472,4,1.000000,0.000000
22,72341267,1060239,0,0,2050,0,0.000000,65536,1826,60239,4,1.000000,0.000000
23,73398101,1056834,0,0,2101,0,0.000000,65536,1877,56834,4,1.000000,0.000000
24,74454433,1056332,0,0,2098,0,0.000000,65536,1874,56332,4,1.000000,0.000000
25,75501788,1047355,0,0,2073,0,0.000000,65536,1849,47355,4,1.000000,0.000000
26,76558418,1056630,0,0,2109,0,0.000000,65536,1885,56630,4,1.000000,0.000000
27,77638012,1079594,0,0,2146,0,0.000000,65536,1922,79594,4,1.000000,0.000000
28,78702032,1064020,0,0,1857,0,0.000000,65536,1633,64020,4,1.000000,0.000000
29,79765603,1063571,0,0,1807,0,0.000000,65536,1615,63571,4,1.000000,0.000000
30,80831196,1065593,0,0,1739,0,0.000000,65536,1581,65593,4,1.000000,0.000000
31,81921650,1090454,0,0,1815,0,0.000000,65536,1605,90454,4,1.000000,0.000000
32,82984327,1062677,0,0,1879,0,0.000000,65536,1655,62677,4,1.000000,0.000000
33,84043653,1059326,0,0,1925,0,0.000000,65536,1701,59326,4,1.000000,0.000000
34,85104477,1060824,0,0,1924,0,0.000000,65536,1726,60824,4,1.000000,0.000000
35,86171737,1067260,0,0,1717,0,0.000000,65536,1563,67260,4,1.000000,0.000000
36,87242667,1070930,0,0,1715,0,0.000000,65536,1507,70930,4,1.000000,0.000000
37,88312583,1069916,0,0,1797,0,0.000000,65536,1581,69916,4,1.000000,0.000000
38,89361600,1049017,0,0,1877,0,0.000000,65536,1690,49017,4,1.000000,0.000000
39,90422702,1061102,0,0,1909,0,0.000000,65536,1716,61102,4,1.000000,0.000000
40,91483342,1060640,0,0,1923,0,0.000000,65536,1725,60640,4,1.000000,0.000000
41,92569227,1085885,0,0,1968,0,0.000000,65536,1754,85885,4,1.000000,0.000000
42,93627408,1058181,0,0,1926,0,0.000000,65536,1702,58181,4,1.000000,0.000000
43,94684817,1057409,0,0,1923,0,0.000000,65536,1699,57409,4,1.000000,0.000000
44,95742738,1057921,0,0,1920,0,0.000000,65536,1696,57921,4,1.000000,0.000000
45,96800010,1057272,0,0,1923,0,0.000000,65536,1718,57272,4,1.000000,0.000000
46,97856183,1056173,0,0,1960,0,0.000000,65536,1755,56173,4,1.000000,0.000000
47,98912028,1055845,0,0,2106,0,0.000000,65536,1872,55845,4,1.000000,0.000000
48,99970263,1058235,0,0,1950,0,0.000000,65536,1747,58235,4,1.000000,0.000000
49,101029291,1059028,0,0,1913,0,0.000000,65536,1720,59028,4,1.000000,0.000000
50,103232927,2203636,0,0,3537,0,0.000000,65536,3121,1203636,4,1.000000,0.000000
51,104336780,1103853,0,0,1961,0,0.000000,65536,1743,103853,4,1.000000,0.000000
52,105395809,1059029,0,0,1918,0,0.000000,65536,1722,59029,4,1.000000,0.000000
53,106459752,1063943,0,0,1884,0,0.000000,65536,1696,63943,4,1.000000,0.000000
54,107503499,1043747,0,0,1890,0,0.000000,65536,1699,43747,4,1.000000,0.000000
55,108561543,1058044,0,0,1906,0,0.000000,65536,1691,58044,4,1.000000,0.000000
56,109623544,1062001,0,0,2089,0,0.000000,65536,1865,62001,4,1.000000,0.000000
57,110688274,1064730,0,0,2075,0,0.000000,65536,1851,64730,4,1.000000,0.000000
58,111751898,1063624,0,0,2071,0,0.000000,65536,1847,63624,4,1.000000,0.000000
59,112815424,1063526,0,0,2060,0,0.000000,65536,1836,63526,4,1.000000,0.000000
60,113875859,1060435,0,0,1926,0,0.000000,65536,1702,60435,4,1.000000,0.000000
61,114948787,1072928,0,0,1951,0,0.000000,65536,1727,72928,4,1.000000,0.000000
62,116005308,1056521,0,0,2040,0,0.000000,65536,1816,56521,4,1.000000,0.000000
63,117061654,1056346,0,0,2080,0,0.000000,65536,1856,56346,4,1.000000,0.000000
64,118122080,1060426,0,0,1948,0,0.000000,65536,1724,60426,4,1.000000,0.000000
65,119196842,1074762,0,0,1780,0,0.000000,65536,1590,74762,4,1.000000,0.000000
66,120268856,1072014,0,0,1780,0,0.000000,65536,1613,72014,4,1.000000,0.000000
67,121334608,1065752,0,0,1854,0,0.000000,65536,1651,65752,4,1.000000,0.000000
68,122404479,1069871,0,0,1957,0,0.000000,65536,1733,69871,4,1.000000,0.000000
69,123464957,1060478,0,0,2105,0,0.000000,65536,1881,60478,4,1.000000,0.000000
70,124506765,1041808,0,0,2074,0,0.000000,65536,1850,41808,4,1.000000,0.000000
71,125586361,1079596,0,0,2152,0,0.000000,65536,1928,79596,4,1.000000,0.000000
72,126643453,1057092,0,0,2108,0,0.000000,65536,1881,57092,4,1.000000,0.000000
73,127699397,1055944,0,0,2107,0,0.000000,65536,1872,55944,4,1.000000,0.000000
74,128757119,1057722,0,0,1912,0,0.000000,65536,1702,57722,4,1.000000,0.000000
75,129816131,1059012,0,0,1793,0,0.000000,65536,1569,59012,4,1.000000,0.000000
76,130874300,1058169,0,0,1924,0,0.000000,65536,1700,58169,4,1.000000,0.000000
77,131932829,1058529,0,0,1953,0,0.000000,65536,1748,58529,4,1.000000,0.000000
78,132990260,1057431,0,0,2109,0,0.000000,65536,1874,57431,4,1.000000,0.000000
79,134046780,1056520,0,0,2079,0,0.000000,65536,1849,56520,4,1.000000,0.000000
80,135111029,1064249,0,0,2002,0,0.000000,65536,1790,64249,4,1.000000,0.000000
81,136194035,1083006,0,0,1789,0,0.000000,65536,1621,83006,4,1.000000,0.000000
82,137256399,1062364,0,0,1977,0,0.000000,65536,1769,62364,4,1.000000,0.000000
83,138314576,1058177,0,0,2110,0,0.000000,65536,1875,58177,4,1.000000,0.000000
84,139371221,1056645,0,0,2109,0,0.000000,65536,1874,56645,4,1.000000,0.000000
85,140431210,1059989,0,0,2115,0,0.000000,65536,1877,59989,4,1.000000,0.000000
86,141488112,1056902,0,0,2108,0,0.000000,65536,1874,56902,4,1.000000,0.000000
