tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat_q48,window_width,actual_window_size,predicted_label_hits,jitter_bits,apic_ticks,time_trust_q48,variance_q48
1,10000,10000,0,0,183,4,45,731,731,0,0,0,65536,0
2,20000,10000,0,0,173,5,44,582,582,0,0,0,65536,0
3,30000,10000,0,0,184,6,60,582,582,0,0,0,65536,0
4,40000,10000,0,0,174,8,71,4096,0,0,0,0,65536,0
5,50000,10000,0,0,150,9,78,582,582,0,0,0,65536,0
6,60000,10000,0,0,159,11,73,4096,0,0,0,0,65536,0
7,70000,10000,0,0,188,15,71,685,685,0,0,0,65536,0
8,80000,10000,0,0,214,16,83,685,685,0,0,0,65536,0
9,90000,10000,0,0,216,19,82,4096,0,0,0,0,65536,0
10,100000,10000,0,0,222,21,84,567,567,0,0,0,65536,0
11,110000,10000,0,0,207,23,86,731,731,0,0,0,65536,0
12,120000,10000,0,0,189,26,83,4096,0,0,0,0,65536,0
13,130000,10000,0,0,231,28,83,4096,0,0,0,0,65536,0
14,140000,10000,0,0,200,29,89,582,582,0,0,0,65536,0
15,150000,10000,0,0,203,30,87,567,567,0,0,0,65536,0
16,160000,10000,0,0,199,32,88,731,731,0,0,0,65536,0
17,170000,10000,0,0,190,35,91,4096,0,0,0,0,65536,0
18,180000,10000,0,0,168,36,93,567,567,0,0,0,65536,0
19,190000,10000,0,0,154,36,97,4096,0,0,0,0,65536,0
20,200000,10000,0,0,155,37,96,731,731,0,0,0,65536,0
21,210000,10000,0,0,153,40,95,567,567,0,0,0,65536,0
22,220000,10000,0,0,170,43,94,582,582,0,0,0,65536,0
23,230000,10000,0,0,173,45,91,4096,0,0,0,0,65536,0
24,240000,10000,0,0,178,46,93,731,731,0,0,0,65536,0
25,250000,10000,0,0,196,49,93,731,731,0,0,0,65536,0
26,260000,10000,0,0,192,51,93,4096,0,0,0,0,65536,0
27,270000,10000,0,0,154,53,95,731,731,0,0,0,65536,0
28,280000,10000,0,0,162,55,94,4096,0,0,0,0,65536,0
29,290000,10000,0,0,161,56,95,582,582,0,0,0,65536,0
30,300000,10000,0,0,154,57,95,4096,0,0,0,0,65536,0
31,310000,10000,0,0,175,60,94,582,582,0,0,0,65536,0
32,320000,10000,0,0,176,63,93,685,685,0,0,0,65536,0
33,330000,10000,0,0,143,65,92,731,731,0,0,0,65536,0
34,340000,10000,0,0,199,69,90,4096,0,0,0,0,65536,0
35,350000,10000,0,0,154,69,82,4096,0,0,0,0,65536,0
36,360000,10000,0,0,137,69,79,4096,0,0,0,0,65536,0
37,370000,10000,0,0,133,69,73,4096,0,0,0,0,65536,0
38,380000,10000,0,0,197,69,65,4096,0,0,0,0,65536,0
39,390000,10000,0,0,228,74,61,4096,0,0,0,0,65536,0
40,400000,10000,0,0,199,76,57,4096,24,0,0,0,65536,0
41,410000,10000,0,0,207,80,55,4096,24,0,0,0,65536,0
42,420000,10000,0,0,185,82,54,4096,24,0,0,0,65536,0
43,430000,10000,0,0,195,83,53,4096,24,0,0,0,65536,0
44,440000,10000,0,0,230,88,48,4096,35,0,0,0,65536,0
45,450000,10000,0,0,205,95,46,4096,101,0,0,0,65536,0
46,460000,10000,0,0,225,97,46,4096,271,0,0,0,65536,0
47,470000,10000,0,0,224,100,46,4096,435,0,0,0,65536,0
48,480000,10000,0,0,221,105,47,4096,611,0,0,0,65536,0
49,490000,10000,0,0,219,106,48,4096,784,0,0,0,65536,0
50,500000,10000,0,0,219,107,49,4096,964,0,0,0,65536,0
51,510000,10000,0,0,203,107,50,4096,1120,0,0,0,65536,0
52,520000,10000,0,0,198,107,51,4096,1241,0,0,0,65536,0
53,530000,10000,0,0,204,108,52,4096,1380,0,0,0,65536,0
54,540000,10000,0,0,225,108,52,4096,1560,0,0,0,65536,0
55,550000,10000,0,0,183,110,52,4096,1666,0,0,0,65536,0
56,560000,10000,0,0,200,0,2,4096,1734,0,0,0,65536,0
57,570000,10000,0,0,123,3,3,4096,1734,0,0,0,65536,0
58,580000,10000,0,0,173,15,4,4096,1879,0,0,0,65536,0
59,590000,10000,0,0,256,15,7,4096,2136,0,0,0,65536,0
60,600000,10000,0,0,256,15,9,4096,2391,0,0,0,65536,0
61,610000,10000,0,0,256,15,12,4096,2648,0,0,0,65536,0
62,620000,10000,0,0,256,15,14,4096,2904,0,0,0,65536,0
63,630000,10000,0,0,256,15,17,4096,3159,0,0,0,65536,0
64,640000,10000,0,0,256,15,19,4096,3416,0,0,0,65536,0
65,650000,10000,0,0,256,15,22,4096,3671,0,0,0,65536,0
66,660000,10000,0,0,256,15,24,4096,3928,0,0,0,65536,0
67,670000,10000,0,0,256,15,27,4096,4096,0,0,0,65536,0
68,680000,10000,0,0,256,15,29,4096,4096,0,0,0,65536,0
