"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst"
"0000000",127,"0","0","0","0","0","0","0",300,31672085.5849159,5490901.25246569,317017.331620472,25350623.5805377,74927391.7938236,17.3367214411695,2,FALSE,FALSE
"0000001",128,"0","0","0","0","0","0","1",300,32426172.9019507,8722810.11504535,503611.676801142,25120992.7749389,116474493.013997,26.900523047913,28,FALSE,FALSE
"0000010",129,"0","0","0","0","0","1","0",300,32378247.2691639,5833603.92905132,336803.279878344,25410932.4256832,69490830.4181293,18.0170466935901,26,FALSE,FALSE
"0000011",130,"0","0","0","0","0","1","1",300,31841329.3079168,5081556.77829141,293383.817384892,25826542.1977338,68788469.7053988,15.9589969663358,5,FALSE,FALSE
"0000100",131,"0","0","0","0","1","0","0",300,32202960.6251174,6150107.1260545,355076.60047726,25023060.0630971,78108690.6554099,19.0979556123718,18,FALSE,FALSE
"0000101",132,"0","0","0","0","1","0","1",300,31826414.735404,5251060.12159743,303170.097473519,25251962.8526994,57667166.300822,16.4990626976155,4,FALSE,FALSE
"0000110",133,"0","0","0","0","1","1","0",300,32347771.7915367,7108550.39854089,410412.34861456,25303098.6962897,80447616.7678294,21.9753943002675,25,FALSE,FALSE
"0000111",134,"0","0","0","0","1","1","1",300,32417701.8048848,6001420.99242865,346492.202549895,24999283.0606532,68334959.4205732,18.5127897978392,27,FALSE,FALSE
"0001000",135,"0","0","0","1","0","0","0",300,46789625.705695,8963258.90881876,517493.994382282,36791977.3774717,118818369.635192,19.1565091056665,69,FALSE,FALSE
"0001001",136,"0","0","0","1","0","0","1",300,52278868.9397497,10103907.9176948,583349.39561483,41156753.6031993,156960408.997112,19.3269443708497,112,FALSE,FALSE
"0001010",137,"0","0","0","1","0","1","0",300,52520369.2210857,9289952.24852793,536355.643144637,41355210.7638303,121608447.260609,17.6882843481577,115,FALSE,FALSE
"0001011",138,"0","0","0","1","0","1","1",300,45947190.7354277,6389089.61783174,368874.26107318,38861726.8553655,64348445.7462786,13.9052889100909,65,FALSE,FALSE
"0001100",139,"0","0","0","1","1","0","0",300,52651244.1228882,9042727.44124271,522082.11224099,42235891.7147301,98809548.8682515,17.1747649877692,116,FALSE,FALSE
"0001101",140,"0","0","0","1","1","0","1",300,47491626.7299889,8260339.41669052,476910.918582395,37644105.5409909,87872651.9155743,17.3932543175542,70,FALSE,FALSE
"0001110",141,"0","0","0","1","1","1","0",300,51713682.9909798,9213089.23766245,531917.955143246,41400842.8064874,106181482.529216,17.8155735673853,108,FALSE,FALSE
"0001111",142,"0","0","0","1","1","1","1",300,51508520.7544871,7850188.2531043,453230.8301119,42761097.0148856,98616362.5434348,15.2405624120363,107,FALSE,FALSE
"0010000",143,"0","0","1","0","0","0","0",300,32070592.9993157,5355660.37442627,309209.195886322,25128636.9429016,65797852.7936014,16.6995988335499,16,FALSE,FALSE
"0010001",144,"0","0","1","0","0","0","1",300,31921582.0056817,4887109.02341435,282157.371022733,25144172.8042657,53901285.1544101,15.3097331534023,7,FALSE,FALSE
"0010010",145,"0","0","1","0","0","1","0",300,32279402.9356913,5385356.48197313,310923.701454928,25780691.7502777,66348247.4472339,16.6835690632262,20,FALSE,FALSE
"0010011",146,"0","0","1","0","0","1","1",300,32634456.3371577,5613227.20905453,324079.824017017,24714526.8838036,67385961.448567,17.2003086279801,32,FALSE,FALSE
"0010100",147,"0","0","1","0","1","0","0",300,32604176.3560927,6293953.61166536,363381.581196201,25113537.8911353,77676642.2821595,19.3041331359662,30,FALSE,FALSE
"0010101",148,"0","0","1","0","1","0","1",300,32518860.4041413,7434615.58514237,429237.730940333,25132437.186403,106152609.414797,22.8624727089008,29,FALSE,FALSE
"0010110",149,"0","0","1","0","1","1","0",300,31962118.0334326,4670242.04649662,269636.550272553,24986761.1855143,56123015.2517218,14.611804016278,12,FALSE,FALSE
"0010111",150,"0","0","1","0","1","1","1",300,31673507.7398978,4697778.00409095,271226.339525501,25213334.323928,56864819.8711397,14.8318842442997,3,FALSE,FALSE
"0011000",151,"0","0","1","1","0","0","0",300,46606618.1122654,7777265.00091539,449020.604183756,37097365.5276605,114582976.412353,16.6870399868568,67,FALSE,FALSE
"0011001",152,"0","0","1","1","0","0","1",300,52359744.382398,8658439.34030832,499895.228388905,41899854.0910909,123387223.305043,16.5364431061261,113,FALSE,FALSE
"0011010",153,"0","0","1","1","0","1","0",300,52426854.2073791,12333567.2240616,712078.835688031,42204004.6140858,208366783.331704,23.5252856775939,114,FALSE,FALSE
"0011011",154,"0","0","1","1","0","1","1",300,46469290.8532208,7961488.7368333,459656.766536088,37155708.7296156,113336860.551877,17.1327958543217,66,FALSE,FALSE
