"Df","Sum Sq","Mean Sq","F value","Pr(>F)","term"
1,5554753217662335,5554753217662335,86.785329275324,1.27230877260796e-20,"L5_window_inference:L7_adaptive_heartrate"
1,2571457061086059,2571457061086059,40.1754567699098,2.34740829276931e-10,"L5_window_inference:L6_decay_inference"
1,2518313363731710,2518313363731710,39.3451600684937,3.58941305167398e-10,"L1_heat_tracking:L3_linear_decay"
1,1549754247484180,1549754247484180,24.2127647068267,8.66183535573882e-07,"L2_rolling_window:L5_window_inference"
1,1088176113739334,1088176113739334,17.0012453550823,3.74344455841137e-05,"L2_rolling_window:L3_linear_decay"
1,1058691550788265,1058691550788265,16.5405898760754,4.77154653510138e-05,"L1_heat_tracking:L4_pipelining_metrics"
1,657268517115508,657268517115508,10.2689106869411,0.00135402128059821,"L3_linear_decay:L4_pipelining_metrics"
1,521738442269345,521738442269345,8.15144088921292,0.004305020776013,"L2_rolling_window:L4_pipelining_metrics"
1,486221358773032,486221358773032,7.5965356278368,0.00585083851822265,"L4_pipelining_metrics:L5_window_inference"
1,319826492342986,319826492342986,4.99684618944041,0.0253993243157868,"L1_heat_tracking:L2_rolling_window"
1,204770409618629,204770409618629,3.19925417534112,0.073679807968697,"L6_decay_inference:L7_adaptive_heartrate"
1,201411703875712,201411703875712,3.14677904774928,0.0760849868128468,"L1_heat_tracking:L7_adaptive_heartrate"
1,191744741507791,191744741507791,2.99574614325865,0.0834915496024658,"L2_rolling_window:L7_adaptive_heartrate"
1,69977522052587.2,69977522052587.2,1.09330190833587,0.295747407469885,"L4_pipelining_metrics:L6_decay_inference"
1,51359408102356.2,51359408102356.2,0.802419651943514,0.370376580116866,"L1_heat_tracking:L5_window_inference"
1,33666296118974.9,33666296118974.9,0.525989270752046,0.468302408919847,"L1_heat_tracking:L6_decay_inference"
1,19866194102717.7,19866194102717.7,0.3103817809889,0.577449278803123,"L3_linear_decay:L7_adaptive_heartrate"
1,17743561973535.3,17743561973535.3,0.277218592446925,0.598533139076411,"L4_pipelining_metrics:L7_adaptive_heartrate"
1,3736170489822.13,3736170489822.13,0.0583724917169979,0.809088325300046,"L2_rolling_window:L6_decay_inference"
1,2778596190213.38,2778596190213.38,0.0434117189084254,0.834953067807136,"L3_linear_decay:L5_window_inference"
1,71186618834.628,71186618834.628,0.00111219237173602,0.973396016709532,"L3_linear_decay:L6_decay_inference"
