"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst","L1234","L567","speed_norm","stability_norm","optimality_score","steady_state_score","optimality_rank","optimality_percentile","is_top5pct"
"0110001",176,"0","1","1","0","0","0","1",300,32293074.9790358,4647417.40341175,268318.768889633,25273439.3245945,44096118.1888469,14.3913746412467,21,FALSE,FALSE,"0110","001",0.0251224827514487,0.04722471825499,0.0534912437120322,0.0383838240535734,1,100,TRUE
"0010110",149,"0","0","1","0","1","1","0",300,31962118.0334326,4670242.04649662,269636.550272553,24986761.1855143,56123015.2517218,14.611804016278,12,FALSE,FALSE,"0010","110",0.0132560620648185,0.0640140034303389,0.0653721333340573,0.0437108268841308,2,99.21875,TRUE
"0010111",150,"0","0","1","0","1","1","1",300,31673507.7398978,4697778.00409095,271226.339525501,25213334.323928,56864819.8711397,14.8318842442997,3,FALSE,FALSE,"0010","111",0.00290797539350414,0.08077669537731,0.0808290222442902,0.0496292073837877,3,98.4375,TRUE
"0100110",165,"0","1","0","0","1","1","0",300,32002505.8371266,4833260.77511982,279048.440957909,25256243.5867585,50645583.0579871,15.1027572644411,14,FALSE,FALSE,"0100","110",0.0147041618119578,0.101408085276307,0.102468590963275,0.0667265158905673,4,97.65625,TRUE
"0100011",162,"0","1","0","0","0","1","1",300,31592403.7002266,4778673.39058253,275896.836842213,25480559.8755832,61699399.3796934,15.1260202798316,1,TRUE,FALSE,"0100","011",0,0.103179942586038,0.103179942586038,0.0619079655516228,5,96.875,TRUE
"0010001",144,"0","0","1","0","0","0","1",300,31921582.0056817,4887109.02341435,282157.371022733,25144172.8042657,53901285.1544101,15.3097331534023,7,FALSE,FALSE,"0010","001",0.0118026477623025,0.117172668484411,0.117765600809229,0.0750246601955677,6,96.09375,TRUE
"1010001",208,"1","0","1","0","0","0","1",300,34423368.1600356,5170285.43489762,298506.568762534,27130215.0028882,51407000.4283493,15.0196965353906,46,FALSE,FALSE,"1010","001",0.101503883436452,0.0950816586523459,0.13908112799644,0.0976505485659884,7,95.3125,TRUE
"1100111",230,"1","1","0","0","1","1","1",300,34143307.443691,5222022.81717026,301493.627920762,27167853.4299045,55297881.9213508,15.2944257839765,33,FALSE,FALSE,"1100","111",0.0914623408065309,0.116006763121131,0.147725857166754,0.106188994195291,8,94.53125,FALSE
"1110100",243,"1","1","1","0","1","0","0",300,34295660.6616959,5234665.85904847,302223.574283938,27043828.6247501,62529221.1330815,15.263347484934,36,FALSE,FALSE,"1110","100",0.0969249467491645,0.113639644739946,0.149360015261614,0.106953765543633,9,93.75,FALSE
"0000011",130,"0","0","0","0","0","1","1",300,31841329.3079168,5081556.77829141,293383.817384892,25826542.1977338,68788469.7053988,15.9589969663358,5,FALSE,FALSE,"0000","011",0.00892519712841387,0.166624676901296,0.166863543340786,0.103544884992143,10,92.96875,FALSE
"1110111",246,"1","1","1","0","1","1","1",300,34604595.6087506,5354623.18817928,309149.313910432,27514272.561653,57072828.6016441,15.4737343233834,51,FALSE,FALSE,"1110","111",0.108001771379243,0.129664027276829,0.168751718778508,0.120999124917795,11,92.1875,FALSE
"0100010",161,"0","1","0","0","0","1","0",300,32255681.9904792,5169329.317979,298451.3673265,26063030.9140191,56662285.8209287,16.0261045464946,19,FALSE,FALSE,"0100","010",0.0237817617336908,0.171736011543305,0.173374824735196,0.112554311619459,12,91.40625,FALSE
"1000110",197,"1","0","0","0","1","1","0",300,34310624.5936933,5520379.55036902,318719.261943446,27340466.0226616,63425204.9802266,16.0894172453618,39,FALSE,FALSE,"1000","110",0.0974614766953268,0.176558304199861,0.201671947036678,0.144919573198048,13,90.625,FALSE
"1000101",196,"1","0","0","0","1","0","1",300,34327194.7231163,5540282.84462755,319868.379173238,26911941.246834,60310752.5474339,16.1396318263568,41,FALSE,FALSE,"1000","101",0.0980555966531597,0.180382961962315,0.205311745892204,0.147452015838653,14,89.84375,FALSE
"1110001",240,"1","1","1","0","0","0","1",300,34380977.2445945,5557517.25311034,320863.408210925,26778728.8798045,57186792.2257276,16.1645121765238,45,FALSE,FALSE,"1110","001",0.0999839623633421,0.182278005643115,0.207899168038513,0.149360388331206,15,89.0625,FALSE
"0000101",132,"0","0","0","0","1","0","1",300,31826414.735404,5251060.12159743,303170.097473519,25251962.8526994,57667166.300822,16.4990626976155,4,FALSE,FALSE,"0000","101",0.00839043696051566,0.20775947381574,0.207928830114012,0.12801185907365,16,88.28125,FALSE
"1100101",228,"1","1","0","0","1","0","1",300,34680813.7389321,5582067.84513899,322280.837302575,27096274.897134,59714449.2050655,16.0955503730659,54,FALSE,FALSE,"1100","101",0.11073456308734,0.177025441712852,0.20880649050203,0.150509090262647,17,87.5,FALSE
