"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst"
"0000000",127,"0","0","0","0","0","0","0",30,31243915.9838258,4725168.91324702,862693.867269188,26648486.8180404,44027102.2723839,15.1234848912445,9,FALSE,FALSE
"0000001",128,"0","0","0","0","0","0","1",30,33019476.6242761,6303340.92005795,1150827.33652037,25815156.0275494,47693507.3130415,19.0897662969731,31,FALSE,FALSE
"0000010",129,"0","0","0","0","0","1","0",30,32567472.8472191,4791526.66479384,874809.079731694,25988715.041102,41290635.7449456,14.7126142924012,30,FALSE,FALSE
"0000011",130,"0","0","0","0","0","1","1",30,31200840.2480041,4311155.15636311,787105.642681596,27177332.1981782,41169988.9340147,13.8174328707025,8,FALSE,FALSE
"0000100",131,"0","0","0","0","1","0","0",30,31691589.0363919,9209882.08333933,1681486.72300254,25139557.1828483,77029945.6725172,29.0609665320457,16,FALSE,FALSE
"0000101",132,"0","0","0","0","1","0","1",30,31623443.8270607,4560489.92760316,832627.735541118,27094440.2968229,42080838.8678072,14.4212311364415,14,FALSE,FALSE
"0000110",133,"0","0","0","0","1","1","0",30,31496384.1658891,6382286.8170537,1165240.81938939,25509913.4805599,52148426.479449,20.2635540112753,11,FALSE,FALSE
"0000111",134,"0","0","0","0","1","1","1",30,34486997.1949345,8648006.94139247,1578902.82642064,25997888.0426572,66874617.5729838,25.0761378049543,39,FALSE,FALSE
"0001000",135,"0","0","0","1","0","0","0",30,51579722.7088499,9652468.12517664,1762291.50925295,42395079.6925128,78924403.4587869,18.7136875079022,105,FALSE,FALSE
"0001001",136,"0","0","0","1","0","0","1",30,54157603.5704066,11580641.9466455,2114326.27485609,42396433.8022662,93903696.5936459,21.3832244840566,115,FALSE,FALSE
"0001010",137,"0","0","0","1","0","1","0",30,50722552.7918833,8047046.56409616,1469182.97481664,43835037.0922017,79896596.0204399,15.8648295899332,97,FALSE,FALSE
"0001011",138,"0","0","0","1","0","1","1",30,52433368.0577057,8169851.60800568,1491604.00572486,42628641.7844923,67617805.4227949,15.5813977065412,109,FALSE,FALSE
"0001100",139,"0","0","0","1","1","0","0",30,46984750.2517663,9479929.62589313,1730790.43322106,37510922.2946012,84417691.8409242,20.1766095916127,73,FALSE,FALSE
"0001101",140,"0","0","0","1","1","0","1",30,46568098.9314967,9426468.76599403,1721029.86025094,38682474.7567207,86024816.273717,20.242331085623,71,FALSE,FALSE
"0001110",141,"0","0","0","1","1","1","0",30,47390608.4922165,8889183.54518374,1622935.44850029,36626280.9366807,71459371.1121973,18.75726821833,75,FALSE,FALSE
"0001111",142,"0","0","0","1","1","1","1",30,46479458.1304895,6682301.51571965,1220015.75873687,40141200.408798,68163788.299489,14.3768920389719,70,FALSE,FALSE
"0010000",143,"0","0","1","0","0","0","0",30,31633604.503651,7033217.78026937,1284084.01003332,26676792.0799822,63711213.3445901,22.2333745730988,15,FALSE,FALSE
"0010001",144,"0","0","1","0","0","0","1",30,33747463.5000815,6697387.41048287,1222770.05369086,27011985.2050655,49634587.2437236,19.8456023530974,34,FALSE,FALSE
"0010010",145,"0","0","1","0","0","1","0",30,31274913.4489225,3759644.60824574,686414.053379622,27011344.5509887,41969962.0315485,12.0212790177211,10,FALSE,FALSE
"0010011",146,"0","0","1","0","0","1","1",30,32385198.0261572,6547650.43121685,1195431.94661197,27099871.2961564,58079907.6898467,20.2180342572813,28,FALSE,FALSE
"0010100",147,"0","0","1","0","1","0","0",30,31822086.3890987,5338228.98409902,974622.810572973,26765886.6776272,41660103.8631415,16.7752325187821,17,FALSE,FALSE
"0010101",148,"0","0","1","0","1","0","1",30,30868535.8903947,4521320.36031432,825476.383683847,25695542.9993335,42212478.7202844,14.6470191406817,4,FALSE,FALSE
"0010110",149,"0","0","1","0","1","1","0",30,34538063.6343331,9250245.68862916,1688856.0753757,26928117.7622751,73171358.969118,26.7827570953741,40,FALSE,FALSE
"0010111",150,"0","0","1","0","1","1","1",30,30405971.9986373,3493279.18452095,637782.603008459,25554060.3705843,41122653.3339258,11.4887930064446,2,FALSE,FALSE
"0011000",151,"0","0","1","1","0","0","0",30,54658801.8150633,13518754.8451574,2468175.65935832,43735342.5816485,108680339.195734,24.7329879108908,116,FALSE,FALSE
"0011001",152,"0","0","1","1","0","0","1",30,56042644.2270903,16057572.9191557,2931698.30220189,45352892.2035103,129036292.5501,28.6524184228154,119,FALSE,FALSE
"0011010",153,"0","0","1","1","0","1","0",30,51987038.437325,8519588.94373617,1555457.01505197,41389835.2046212,69511637.1153077,16.3879097556351,108,FALSE,FALSE
"0011011",154,"0","0","1","1","0","1","1",30,52855719.2578834,12465893.6258867,2275950.37945268,42141104.0319929,105662348.882471,23.5847582833289,111,FALSE,FALSE
"0011100",155,"0","0","1","1","1","0","0",30,44012520.5973191,5257771.35384518,959933.32423516,36598936.6558543,59870695.9982226,11.9460809844311,65,FALSE,FALSE
"0011101",156,"0","0","1","1","1","0","1",30,46227684.9610309,13938165.6671767,2544749.2487189,37889082.9237947,116391324.466563,30.1511219498149,69,FALSE,FALSE
"0011110",157,"0","0","1","1","1","1","0",30,45438949.0330741,7284404.37564208,1329944.19817617,39658584.0444346,68244991.2037325,16.0311902688152,66,FALSE,FALSE
"0011111",158,"0","0","1","1","1","1","1",30,45797479.9242835,6772543.23827825,1236491.56776136,37348050.5558765,61913727.2890469,14.7880259994114,67,FALSE,FALSE
"0100000",159,"0","1","0","0","0","0","0",30,31874963.6469525,5373834.15215822,981123.395142901,27032500.6958454,45951656.2399467,16.8591067637876,19,FALSE,FALSE
"0100001",160,"0","1","0","0","0","0","1",30,32042680.0894616,5529379.63376666,1009521.98480788,26417822.2297267,49498462.8127083,17.2562957228574,22,FALSE,FALSE
"0100010",161,"0","1","0","0","0","1","0",30,31602420.6664593,5347254.9503301,976270.719008987,26261342.4714508,50440005.9009109,16.9203967213984,13,FALSE,FALSE
"0100011",162,"0","1","0","0","0","1","1",30,30619591.7910983,5787493.90516475,1056646.9877608,25985861.2183959,56472492.0506554,18.9012771452012,3,FALSE,FALSE
"0100100",163,"0","1","0","0","1","0","0",30,31102184.8589499,3308399.21172568,604028.292498154,27108753.091313,39139872.6469673,10.63719229607,7,FALSE,FALSE
"0100101",164,"0","1","0","0","1","0","1",30,30014036.3361031,4117983.23414843,751837.436257057,25538364.345701,41896053.8475894,13.720191406562,1,TRUE,FALSE
"0100110",165,"0","1","0","0","1","1","0",30,31010978.0442272,4451158.74399871,812666.683708152,25728245.4778938,40964746.6642968,14.3534935842738,5,FALSE,FALSE
"0100111",166,"0","1","0","0","1","1","1",30,32162131.9834703,4873092.37632212,889700.873106027,25941161.0362142,47024693.5774272,15.1516459755424,24,FALSE,FALSE
"0101000",167,"0","1","0","1","0","0","0",30,49104006.7587943,7430181.36062261,1356559.31252248,41305676.5554321,65136013.4512331,15.1315174688711,86,FALSE,FALSE
"0101001",168,"0","1","0","1","0","0","1",30,48390262.7879434,6954900.69138702,1269785.33129365,39080917.9115752,62695223.340591,14.3725210211503,82,FALSE,FALSE
"0101010",169,"0","1","0","1","0","1","0",30,48183959.0709028,7402906.27598175,1351579.58615059,40497331.2739391,67037532.9926683,15.3638397896868,79,FALSE,FALSE
"0101011",170,"0","1","0","1","0","1","1",30,50591703.0794342,9212891.28564324,1682036.12566319,41615330.8793601,79948605.483226,18.2102809845679,95,FALSE,FALSE
"0101100",171,"0","1","0","1","1","0","0",30,48922273.0962897,7491445.33968615,1367744.53362102,38496408.4283493,65788155.6205288,15.3129543366502,84,FALSE,FALSE
"0101101",172,"0","1","0","1","1","0","1",30,49831194.7583796,12834929.0129375,2343326.71478779,40450607.2072873,107807943.066874,25.7568157359485,91,FALSE,FALSE
"0101110",173,"0","1","0","1","1","1","0",30,48354816.6597645,7732832.28090653,1411815.55788554,39136494.6527438,65200501.1081982,15.9918552381586,81,FALSE,FALSE
"0101111",174,"0","1","0","1","1","1","1",30,47014924.0880989,6131421.46930309,1119439.28276959,41109286.9602311,64357778.911353,13.0414364975124,74,FALSE,FALSE
"0110000",175,"0","1","1","0","0","0","0",30,31850130.0506258,7185837.7655008,1311948.4795791,27115625.5623195,58876488.2328371,22.5614079254273,18,FALSE,FALSE
"0110001",176,"0","1","1","0","0","0","1",30,31953546.6642968,5096942.42517599,930570.113524658,27103904.5047767,47128115.5298822,15.9511007611278,20,FALSE,FALSE
"0110010",177,"0","1","1","0","0","1","0",30,31520366.468844,4331114.46453175,790749.697120316,26106522.5896467,42667022.7878249,13.7406856256345,12,FALSE,FALSE
"0110011",178,"0","1","1","0","0","1","1",30,32444917.6636896,4587844.1234678,837621.905580277,27181991.5005554,41201686.7504999,14.1404092037572,29,FALSE,FALSE
"0110100",179,"0","1","1","0","1","0","0",30,31100674.9537732,4837831.52178225,883263.151296561,26089880.143968,42467546.4047989,15.5553907719784,6,FALSE,FALSE
"0110101",180,"0","1","1","0","1","0","1",30,32202715.9632082,5244869.97715346,957577.865889518,25312766.7487225,42943596.0648745,16.2870423201129,26,FALSE,FALSE
"0110110",181,"0","1","1","0","1","1","0",30,32018780.2949863,5478723.60807089,1000273.50215884,24737517.6289713,45440035.7182848,17.1109691174863,21,FALSE,FALSE
"0110111",182,"0","1","1","0","1","1","1",30,32061519.2020736,3642622.51552019,665048.840075541,27343654.7327261,41612957.5472117,11.3613534423054,23,FALSE,FALSE
"0111000",183,"0","1","1","1","0","0","0",30,51051070.0102792,9982602.36533986,1822565.49936702,40787358.286603,75411449.62986,19.5541491360119,101,FALSE,FALSE
"0111001",184,"0","1","1","1","0","0","1",30,46941149.3737392,8086751.83699742,1476432.13268994,38777073.1552988,76132054.4234615,17.2274261386567,72,FALSE,FALSE
"0111010",185,"0","1","1","1","0","1","0",30,49839750.4023698,8596626.12597279,1569522.01587785,40736819.4161297,75759892.6460786,17.2485336635314,92,FALSE,FALSE
"0111011",186,"0","1","1","1","0","1","1",30,47904293.1819003,6547608.29645337,1195424.25389183,41073614.1764052,64935852.7331704,13.6681033401141,78,FALSE,FALSE
"0111100",187,"0","1","1","1","1","0","0",30,51579095.6444049,14211594.5385053,2594670.30228552,39224438.9851144,111178089.277938,27.5530122445001,104,FALSE,FALSE
"0111101",188,"0","1","1","1","1","0","1",30,48972713.4419314,7687629.01932392,1403562.60920501,39380831.3814708,66983907.3343701,15.6977804148822,85,FALSE,FALSE
"0111110",189,"0","1","1","1","1","1","0",30,51297538.3698437,11240650.5323613,2052252.61920225,41311733.6485225,93169390.5389913,21.9126509566965,102,FALSE,FALSE
"0111111",190,"0","1","1","1","1","1","1",30,50487956.4318448,9474313.73108467,1729765.11579867,37033270.9993335,67355006.2083981,18.7654926058937,94,FALSE,FALSE
"1000000",191,"1","0","0","0","0","0","0",30,35171213.3223136,8667795.7971569,1582515.76065044,27915598.6598534,72640897.3934681,24.6445742935397,48,FALSE,FALSE
"1000001",192,"1","0","0","0","0","0","1",30,32192437.8333704,4800117.42753361,876377.53124461,27279298.1186403,49440570.980671,14.9106987559602,25,FALSE,FALSE
"1000010",193,"1","0","0","0","0","1","0",30,35296283.5584389,8174912.99621141,1492528.08455571,26948443.9688958,59804956.1537436,23.1608321671501,53,FALSE,FALSE
"1000011",194,"1","0","0","0","0","1","1",30,33147920.9718729,5814672.59164167,1061609.11431639,27471406.9797823,50234079.2961564,17.5415906070719,32,FALSE,FALSE
"1000100",195,"1","0","0","0","1","0","0",30,37042175.605658,7477031.96430709,1365113.02334605,28032314.1844035,61111235.2561653,20.1851857836477,61,FALSE,FALSE
"1000101",196,"1","0","0","0","1","0","1",30,32362147.0983337,3896240.8182999,711352.995218415,27206278.1141968,46475813.1970673,12.0395003658472,27,FALSE,FALSE
