timestamp,run_id,L1_heat_tracking,L2_rolling_window,L3_linear_decay,L4_pipelining_metrics,L5_window_inference,L6_decay_inference,L7_adaptive_heartrate,replicate,L1_heat,L2_window,L3_decay,L4_pipeline,L5_win_inf,L6_decay_inf,L7_heartrate,total_lookups,cache_hits,cache_hit_pct,bucket_hits,bucket_hit_pct,cache_lat_ns,cache_lat_std,bucket_lat_ns,bucket_lat_std,ctx_pred_total,ctx_correct,ctx_acc_pct,cache_promos,cache_demos,win_diversity_pct,win_final_bytes,win_width,win_total_exec,win_var_q48,decay_slope,total_heat,hot_words,stale_words,stale_ratio,avg_heat,tick_count,tick_target_ns,infer_runs,early_exits,prefetch_acc_pct,prefetch_attempts,prefetch_hits,win_tune_checks,final_win_size,workload_ns_q48,runtime_ms,words_exec,dict_lookups,mem_bytes,speedup,ci_lower,ci_upper,cpu_temp_delta,cpu_freq_delta,decay_rate_q16,decay_min_ns,rolling_win_size,shrink_rate,demotion_thresh,hotwords_enabled,pipelining_enabled
2025-11-22 08:56:56,1031,0,1,0,0,0,1,0,11,0,1,0,0,0,1,0,3991,0,0.00,3272,81.98,0,0,40,2102,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,132636868608,0,4501,4395,0,1.0000,0.000000,0.000000,0,65536,1,1000,4096,75,10,1,1
2025-11-22 08:57:03,1119,0,1,0,0,1,0,1,9,0,1,0,0,1,0,1,3991,0,0.00,3272,81.98,0,0,39,1984,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,128698417152,0,4501,4395,0,1.0000,0.000000,0.000000,0,0,1,1000,4096,75,10,1,1
2025-11-22 08:57:10,421,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,3991,294,7.37,2978,74.62,40,1900,51,3637,851,752,88.37,13,0,0.00,4096,4096,0,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,215215767552,0,4501,4395,0,1.0000,0.000000,0.000000,0,19005440,1,1000,4096,75,10,1,1
2025-11-22 08:57:16,2687,1,0,1,1,0,0,1,17,1,0,1,1,0,0,1,3991,1250,31.32,2022,50.66,30,1059,51,3466,851,752,88.37,15,0,0.00,4096,4096,0,0,0.333328,520,7,25,0.087719,1.824561,0,1000000,0,0,88.37,851,752,0,4096,229419122688,0,4501,4395,0,1.0000,0.000000,0.000000,0,-10354688,1,1000,4096,75,10,1,1
2025-11-22 08:57:23,1753,0,1,1,1,0,1,0,13,0,1,1,1,0,1,0,3991,294,7.37,2978,74.62,47,2494,49,3742,851,752,88.37,13,0,0.00,4096,4096,1630,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,233201270784,0,4501,4395,0,1.0000,0.000000,0.000000,0,-29163520,1,1000,4096,75,10,1,1
2025-11-22 08:57:30,1680,0,1,1,0,1,1,1,30,0,1,1,0,1,1,1,3991,0,0.00,3272,81.98,0,0,45,11501,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,136504672256,0,4501,4395,0,1.0000,0.000000,0.000000,0,-34275328,1,1000,4096,75,10,1,1
2025-11-22 08:57:37,3835,1,1,1,1,1,1,1,25,1,1,1,1,1,1,1,3991,1249,31.30,2023,50.69,33,1720,56,4248,851,752,88.37,15,0,0.00,4096,4096,1630,0,0.333328,510,7,25,0.087719,1.789474,0,1000000,0,0,88.37,851,752,0,4096,256171507712,0,4501,4395,0,1.0000,0.000000,0.000000,0,65536,1,1000,4096,75,10,1,1
2025-11-22 08:57:45,2349,1,0,0,1,1,1,0,9,1,0,0,1,1,1,0,3991,1429,35.81,1843,46.18,77,777050,91,12443,851,752,88.37,19,0,0.00,4096,4096,0,0,0.333328,785,10,20,0.070175,2.754386,0,1000000,0,0,88.37,851,752,0,4096,386705915904,0,4501,4395,0,1.0000,0.000000,0.000000,0,-83558400,1,1000,4096,75,10,1,1
2025-11-22 08:57:52,2640,1,0,1,0,1,1,1,30,1,0,1,0,1,1,1,3991,1075,26.94,2197,55.05,30,1027,52,14170,0,0,0.00,7,0,0.00,4096,4096,0,0,0.333328,619,5,27,0.094737,2.171930,0,1000000,0,0,0.00,0,0,0,4096,144860381184,0,4501,4395,0,1.0000,0.000000,0.000000,0,-8585216,1,1000,4096,75,10,1,1
2025-11-22 08:57:59,3763,1,1,1,1,1,0,1,13,1,1,1,1,1,0,1,3991,1240,31.07,2032,50.91,32,1185,57,4686,851,752,88.37,15,0,0.00,4096,4096,1630,0,0.333328,537,7,25,0.087719,1.884211,0,1000000,0,0,88.37,851,752,0,4096,203993972736,0,4501,4395,0,1.0000,0.000000,0.000000,0,-11927552,1,1000,4096,75,10,1,1
2025-11-22 08:58:07,3408,1,1,1,0,0,0,1,18,1,1,1,0,0,0,1,3991,1086,27.21,2186,54.77,30,991,50,3527,0,0,0.00,7,0,0.00,4096,4096,1630,0,0.333328,565,5,27,0.094737,1.982456,0,1000000,0,0,0.00,0,0,0,4096,146790285312,0,4501,4395,0,1.0000,0.000000,0.000000,0,-10551296,1,1000,4096,75,10,1,1
