run_id,L1_heat_tracking,L2_rolling_window,L3_linear_decay,L4_pipelining_metrics,L5_window_inference,L6_decay_inference,L7_adaptive_heartrate,replicate
1031,0,1,0,0,0,1,0,11
1119,0,1,0,0,1,0,1,9
421,0,0,0,1,1,1,0,1
2687,1,0,1,1,0,0,1,17
1753,0,1,1,1,0,1,0,13
1680,0,1,1,0,1,1,1,30
3835,1,1,1,1,1,1,1,25
2349,1,0,0,1,1,1,0,9
2640,1,0,1,0,1,1,1,30
3763,1,1,1,1,1,0,1,13
3408,1,1,1,0,0,0,1,18
2056,1,0,0,0,1,0,0,16
2206,1,0,0,1,0,0,1,16
1920,0,1,1,1,1,1,1,30
825,0,0,1,1,0,1,1,15
3597,1,1,1,0,1,1,1,27
3662,1,1,1,1,0,1,0,2
2524,1,0,1,0,1,0,0,4
896,0,0,1,1,1,0,1,26
2012,1,0,0,0,0,1,1,2
3474,1,1,1,0,0,1,1,24
630,0,0,1,0,1,0,0,30
1220,0,1,0,1,0,0,0,20
2299,1,0,0,1,1,0,0,19
3808,1,1,1,1,1,1,0,28
2548,1,0,1,0,1,0,0,28
2159,1,0,0,0,1,1,1,29
3628,1,1,1,1,0,0,0,28
1296,0,1,0,1,0,1,1,6
1528,0,1,1,0,0,1,0,28
1264,0,1,0,1,0,1,0,4
1104,0,1,0,0,1,0,0,24
808,0,0,1,1,0,1,0,28
388,0,0,0,1,1,0,0,28
2762,1,0,1,1,1,0,0,2
1964,1,0,0,0,0,0,1,14
3696,1,1,1,1,0,1,1,6
1311,0,1,0,1,0,1,1,21
873,0,0,1,1,1,0,1,3
1877,0,1,1,1,1,1,0,17
3507,1,1,1,0,1,0,0,27
2398,1,0,0,1,1,1,1,28
253,0,0,0,1,0,0,0,13
2049,1,0,0,0,1,0,0,9
572,0,0,1,0,0,1,1,2
490,0,0,1,0,0,0,0,10
2646,1,0,1,1,0,0,0,6
505,0,0,1,0,0,0,0,25
161,0,0,0,0,1,0,1,11
1882,0,1,1,1,1,1,0,22
2295,1,0,0,1,1,0,0,15
2853,1,0,1,1,1,1,1,3
1226,0,1,0,1,0,0,0,26
1862,0,1,1,1,1,1,0,2
1860,0,1,1,1,1,0,1,30
2776,1,0,1,1,1,0,0,16
1203,0,1,0,1,0,0,0,3
2611,1,0,1,0,1,1,1,1
539,0,0,1,0,0,0,1,29
1383,0,1,0,1,1,1,0,3
1942,1,0,0,0,0,0,0,22
1151,0,1,0,0,1,1,0,11
2989,1,1,0,0,0,1,1,19
598,0,0,1,0,0,1,1,28
992,0,1,0,0,0,0,1,2
1103,0,1,0,0,1,0,0,23
413,0,0,0,1,1,0,1,23
