cfg,rep,seed_12345,seed_67890,seed_13579,delta_q48,position_effect
0,0,64512,64512,64512,0,0
0,1,64768,64512,64512,256,1
0,2,64512,64768,63232,1536,1
0,3,64512,64512,64512,0,0
0,4,64512,64512,64512,0,0
0,5,64512,64512,64512,0,0
0,6,64512,63744,64512,768,1
0,7,64512,64512,64512,0,0
0,8,64512,64512,64512,0,0
0,9,64512,64512,64768,256,1
0,10,64512,64512,64512,0,0
0,11,64512,64768,64512,256,1
0,12,64768,64512,64512,256,1
0,13,64512,64768,64512,256,1
0,14,64512,63488,64512,1024,1
0,15,64512,64512,64768,256,1
0,16,64512,64512,64512,0,0
0,17,64512,64512,64512,0,0
0,18,64512,64512,64512,0,0
0,19,64512,64512,64512,0,0
0,20,64768,63744,64512,1024,1
0,21,64512,64512,64512,0,0
0,22,64512,64512,64512,0,0
0,23,64512,64512,64512,0,0
0,24,64768,64512,64512,256,1
0,25,64512,64512,64768,256,1
0,26,64512,64768,64512,256,1
0,27,64512,64512,64512,0,0
0,28,64512,64512,64512,0,0
0,29,64512,64512,64512,0,0
1,0,64768,64512,64512,256,1
1,1,64768,64512,64768,256,1
1,2,64512,64512,64512,0,0
1,3,64512,64512,64768,256,1
1,4,64512,64512,64512,0,0
1,5,64512,64512,64512,0,0
1,6,64512,64512,63488,1024,1
1,7,64512,64512,64512,0,0
1,8,64768,64768,64768,0,0
1,9,64512,64512,64512,0,0
1,10,64512,64768,64512,256,1
1,11,64512,64512,64768,256,1
1,12,64512,64512,64512,0,0
1,13,64512,64512,64768,256,1
1,14,64512,64512,64512,0,0
1,15,64512,64512,64768,256,1
1,16,64512,64000,64512,512,1
1,17,64768,64512,64768,256,1
1,18,64512,64512,64512,0,0
1,19,63488,64512,64768,1280,1
1,20,64512,64512,64512,0,0
1,21,64512,64512,64512,0,0
1,22,64512,64512,64512,0,0
1,23,63232,64768,64768,1536,1
1,24,64512,64512,64512,0,0
1,25,64512,64512,64512,0,0
1,26,64512,64512,64512,0,0
1,27,64768,64512,64512,256,1
1,28,64512,64512,63488,1024,1
1,29,64512,64512,64512,0,0
2,0,64768,64512,64512,256,1
2,1,64512,64512,64512,0,0
2,2,64512,64512,64512,0,0
2,3,64768,64512,64512,256,1
2,4,63744,64768,64512,1024,1
2,5,64768,64512,64512,256,1
2,6,64512,64512,64512,0,0
2,7,64512,64512,64512,0,0
2,8,64512,64512,64512,0,0
2,9,64512,64512,64512,0,0
2,10,64768,64768,64512,256,1
2,11,64512,64512,64512,0,0
2,12,64512,64512,64768,256,1
2,13,64512,64512,64768,256,1
2,14,64512,64512,64512,0,0
2,15,64512,64512,64512,0,0
2,16,64512,64512,64512,0,0
2,17,64768,64512,64512,256,1
2,18,64768,64512,64512,256,1
2,19,64512,64512,64512,0,0
2,20,64512,64512,64512,0,0
2,21,64512,64512,64512,0,0
2,22,64512,64512,64512,0,0
2,23,64512,64512,64512,0,0
2,24,64512,64512,64512,0,0
2,25,64512,64512,64512,0,0
2,26,64512,64512,64768,256,1
2,27,64512,64512,64512,0,0
2,28,64512,64768,64512,256,1
2,29,64512,64512,64512,0,0
3,0,64512,64512,64512,0,0
3,1,64768,63488,64512,1280,1
3,2,64512,64512,64512,0,0
3,3,64768,64512,64512,256,1
3,4,64512,64512,64512,0,0
3,5,64512,64512,64512,0,0
3,6,64512,64512,64512,0,0
3,7,64512,64512,64512,0,0
3,8,64512,64512,64512,0,0
3,9,64768,64512,64512,256,1
3,10,64512,64768,64512,256,1
3,11,64768,64000,64768,768,1
3,12,64768,64512,64512,256,1
3,13,64512,63232,64512,1280,1
3,14,64512,64512,64512,0,0
3,15,64512,64512,64512,0,0
3,16,64512,64512,64512,0,0
3,17,64512,64512,64512,0,0
3,18,64512,64512,63488,1024,1
3,19,64512,64512,64512,0,0
3,20,64512,64512,64768,256,1
3,21,64768,64512,64512,256,1
3,22,64512,64512,63488,1024,1
3,23,64768,64512,64512,256,1
3,24,64512,64512,64512,0,0
3,25,64512,64512,64512,0,0
3,26,64512,64512,64512,0,0
3,27,64512,64512,64512,0,0
3,28,64512,64512,64512,0,0
3,29,64512,64512,64512,0,0
4,0,63744,64768,64512,1024,1
4,1,64512,64512,64512,0,0
4,2,64512,64512,64512,0,0
4,3,64512,64512,64512,0,0
4,4,64512,64512,64512,0,0
4,5,64512,64512,64512,0,0
4,6,64512,64512,64512,0,0
4,7,64768,63488,64512,1280,1
4,8,64512,64768,64512,256,1
4,9,64512,64512,64768,256,1
4,10,64512,64512,64000,512,1
4,11,64512,63744,64512,768,1
4,12,64512,64512,64512,0,0
4,13,64512,64512,64512,0,0
4,14,64512,64768,64512,256,1
4,15,64512,64512,64768,256,1
4,16,64512,64768,64768,256,1
4,17,64512,63488,64512,1024,1
4,18,64512,64512,64768,256,1
4,19,64512,64512,64512,0,0
4,20,64512,64512,64768,256,1
4,21,64512,64512,64256,256,1
4,22,64512,64512,64512,0,0
4,23,64512,64512,64512,0,0
4,24,64512,64512,64512,0,0
4,25,64512,64512,64512,0,0
4,26,64512,64512,64512,0,0
4,27,64512,64512,64768,256,1
4,28,64512,64512,64512,0,0
4,29,64512,64512,64512,0,0
5,0,64512,64512,64512,0,0
5,1,64512,64512,64512,0,0
5,2,64512,64512,64512,0,0
5,3,64512,64512,64512,0,0
5,4,64512,64512,64768,256,1
5,5,64512,64768,64512,256,1
5,6,64512,64512,64512,0,0
5,7,64768,64512,64512,256,1
