"tick_count","duration_ns","mean_interval_ns","sd_interval_ns","mean_heat","max_heat","mean_hot_words","max_hot_words","mean_jitter_ns","sd_jitter_ns","run_id","init_script","replicate","cv_interval"
1,0,525366326188582,NA,2e-05,2e-05,0,0,525366326178582,NA,1,"init-l8-omni.4th",23,NA
22,1150771587,23880339907017.1,112008722290047,0.000253181818181818,0.000505,7.59090909090909,13,23880339897017.1,112008722290047,2,"init-l8-omni.4th",20,4.69041574475806
25,12957808,21014699647728.8,105073497867827,0.00034104,0.000776,6.32,13,21014699637728.8,105073497867827,3,"init-l8-stable.4th",29,4.9999999823544
18,7375481,29187083261073.4,123830306514983,0.000291166666666667,0.000565,5.94444444444444,13,29187083251073.4,123830306514983,4,"init-l8-transition.4th",30,4.24264067112643
25,6339428,21014700202072.2,105073500643223,0.00029952,0.000718,5.56,14,21014700192072.2,105073500643223,5,"init-l8-temporal.4th",23,4.99999998252946
35,7751153,15010500391702.3,88803317451334.5,0.000254142857142857,0.000571,5.28571428571429,13,15010500381702.3,88803317451334.5,6,"init-l8-diverse.4th",17,5.91607975310566
24,5907870,21890313284652.8,107240195348284,0.000342708333333333,0.000673,6.70833333333333,14,21890313274652.8,107240195348284,7,"init-l8-transition.4th",1,4.89897946885344
23,5585467,22842066277928.2,109546701165966,0.000345,0.000832,7.08695652173913,14,22842066267928.2,109546701165966,8,"init-l8-volatile.4th",30,4.79583150810742
25,6376055,21014701243478,105073505828861,0.0003276,0.00072,6.6,14,21014701233478,105073505828861,9,"init-l8-diverse.4th",2,4.99999998151157
20,7460776,26268376908232.5,117475752517387,0.000318,0.000516,6.4,14,26268376898232.5,117475752517387,10,"init-l8-diverse.4th",5,4.4721359423075
24,6574547,21890314379530.8,107240200718291,0.000342916666666667,0.000683,6.66666666666667,14,21890314369530.8,107240200718291,11,"init-l8-transition.4th",12,4.89897946913768
24,5781736,21890314624584,107240201909375,0.000341291666666667,0.000686,6.91666666666667,14,21890314614584,107240201909375,12,"init-l8-stable.4th",21,4.89897946870707
24,6165198,21890314886121.7,107240203147298,0.000327541666666667,0.000633,6.54166666666667,14,21890314876121.7,107240203147298,13,"init-l8-omni.4th",15,4.89897946672698
24,6079101,21890315141839.5,107240204442949,0.000316,0.00067,6.375,14,21890315131839.5,107240204442949,14,"init-l8-temporal.4th",7,4.89897946868648
24,5948376,21890315392720.8,107240205656149,0.00034,0.000664,6.91666666666667,14,21890315382720.8,107240205656149,15,"init-l8-diverse.4th",22,4.89897946796188
24,6448370,21890315662122.3,107240206998716,0.000343,0.000912,6.45833333333333,14,21890315652122.3,107240206998716,16,"init-l8-volatile.4th",28,4.89897946900228
25,6034482,21014703283544,105073516048930,0.00032404,0.00066,6.16,14,21014703273544,105073516048930,17,"init-l8-stable.4th",9,4.99999998245086
25,6266666,21014703537704.3,105073517305767,0.00034684,0.000715,7.08,14,21014703527704.3,105073517305767,18,"init-l8-omni.4th",19,4.99999998178635
25,6022236,21014703781850,105073518541747,0.00032816,0.000675,6.64,14,21014703771850,105073518541747,19,"init-l8-omni.4th",7,4.99999998251211
24,6087966,21890316692524.8,107240212041231,0.000339,0.000676,6.875,14,21890316682524.8,107240212041231,20,"init-l8-stable.4th",30,4.89897946875532
24,6431645,21890316966282.7,107240213362782,0.000315125,0.00086,6.45833333333333,13,21890316956282.7,107240213362782,21,"init-l8-volatile.4th",5,4.8989794678607
25,6178270,21014704539238.3,105073522326539,0.00032244,0.000628,6.52,13,21014704529238.3,105073522326539,22,"init-l8-volatile.4th",14,4.99999998240981
24,5788780,21890317468433.3,107240215855160,0.000355375,0.000815,7.08333333333333,14,21890317458433.3,107240215855160,23,"init-l8-temporal.4th",26,4.89897946933867
25,6334849,21014705028629.9,105073524772770,0.00032632,0.00068,6.68,13,21014705018629.9,105073524772770,24,"init-l8-omni.4th",13,4.99999998237523
24,5812803,21890317982129.8,107240218359055,0.000317708333333333,0.000721,6,13,21890317972129.8,107240218359055,25,"init-l8-omni.4th",10,4.89897946875881
24,6189754,21890318242635.9,107240219633827,0.000325,0.000754,6.41666666666667,14,21890318232635.9,107240219633827,26,"init-l8-temporal.4th",30,4.89897946869291
21,6881558,25017506902091.6,114644618595538,0.000270619047619048,0.000561,6.61904761904762,15,25017506892091.6,114644618595538,27,"init-l8-omni.4th",1,4.58257567567427
24,6447384,21890318809011.8,107240222382828,0.00029575,0.000623,6.25,14,21890318799011.8,107240222382828,28,"init-l8-transition.4th",8,4.89897946752053
24,6466983,21890319076701.2,107240223718658,0.000310375,0.000684,6.33333333333333,13,21890319066701.2,107240223718658,29,"init-l8-stable.4th",19,4.89897946863638
25,6590213,21014706581920,105073532540610,0.0003228,0.000679,6.44,13,21014706571920,105073532540610,30,"init-l8-stable.4th",18,4.99999998244134
25,6493378,21014706845286.3,105073533860562,0.00034412,0.000824,6.48,14,21014706835286.3,105073533860562,31,"init-l8-temporal.4th",1,4.99999998258981
27,6389131,19458062138476.1,101107056329564,0.000321185185185185,0.000689,6.44444444444444,14,19458062128476.1,101107056329564,32,"init-l8-stable.4th",15,5.19615240253739
26,6109946,20206449378508.8,103033079304197,0.000344153846153846,7e-04,6.53846153846154,14,20206449368508.8,103033079304197,33,"init-l8-temporal.4th",18,5.09901949492327
24,5981114,21890320405146.4,107240230238907,0.00032,0.000782,6.54166666666667,15,21890320395146.4,107240230238907,34,"init-l8-diverse.4th",14,4.89897946919474
23,5797329,22842073720727.5,109546736841846,0.000338608695652174,0.000777,6.8695652173913,14,22842073710727.5,109546736841846,35,"init-l8-stable.4th",7,4.79583150729612
25,6079752,21014708073331.4,105073539994307,0.00032672,0.000687,6.28,14,21014708063331.4,105073539994307,36,"init-l8-stable.4th",20,4.99999998228146
25,6998032,21014708356432.7,105073541407058,0.00032788,0.000677,6.36,14,21014708346432.7,105073541407058,37,"init-l8-stable.4th",8,4.99999998215033
25,6219019,21014708607513.7,105073542667473,0.00032088,0.000675,6.48,14,21014708597513.7,105073542667473,38,"init-l8-stable.4th",5,4.99999998238872
24,6639348,21890321745394.3,107240236791964,0.000321833333333333,0.000905,6.5,14,21890321735394.3,107240236791964,39,"init-l8-diverse.4th",23,4.89897946861046
26,6695698,20206451110022.2,103033088113966,0.000310192307692308,0.00062,6.11538461538461,13,20206451100022.2,103033088113966,40,"init-l8-transition.4th",11,5.09901949397055
25,5877278,21014709384454.4,105073546561818,0.00035548,0.000743,6.56,14,21014709374454.4,105073546561818,41,"init-l8-temporal.4th",22,4.99999998284753
26,6777673,20206451598269.2,103033090628246,0.000342,0.000692,6.26923076923077,14,20206451588269.2,103033090628246,42,"init-l8-volatile.4th",24,5.09901949519287
26,6657873,20206451855864.5,103033091920969,0.000340730769230769,0.000708,6.5,14,20206451845864.5,103033091920969,43,"init-l8-temporal.4th",17,5.09901949416547
22,5697235,23880352444352.9,112008781105679,0.000305045454545455,0.000635,7.04545454545455,14,23880352434352.9,112008781105679,44,"init-l8-volatile.4th",17,4.69041574518997
26,6381500,20206452331576.3,103033094342138,0.000292384615384615,0.000772,5.96153846153846,14,20206452321576.3,103033094342138,45,"init-l8-diverse.4th",4,5.09901949394303
24,5668220,21890323587891.2,107240245831096,0.000316583333333333,0.000799,6.33333333333333,14,21890323577891.3,107240245831096,46,"init-l8-stable.4th",24,4.89897946919419
23,6429497,22842077068885.4,109546752889427,0.000338913043478261,0.000757,6.82608695652174,14,22842077058885.4,109546752889427,47,"init-l8-temporal.4th",24,4.79583150687496
24,6157372,21890324120519.1,107240248429097,0.000329083333333333,0.00064,6.75,14,21890324110519.1,107240248429097,48,"init-l8-omni.4th",27,4.89897946867649
25,5830085,21014711391281.4,105073556594968,0.00035548,0.000708,6.88,14,21014711381281.4,105073556594968,49,"init-l8-diverse.4th",9,4.99999998280069
25,6576828,21014711659541.5,105073557903109,0.00032044,0.000683,6.6,14,21014711649541.5,105073557903109,50,"init-l8-omni.4th",11,4.99999998122275
24,6299079,21890324910430.9,107240252294858,0.000324625,0.000719,6.54166666666667,14,21890324900430.9,107240252294858,51,"init-l8-volatile.4th",4,4.89897946849373
24,6236637,21890325172268.2,107240253583418,0.000333125,0.000659,6.54166666666667,13,21890325162268.2,107240253583418,52,"init-l8-stable.4th",28,4.89897946875982
24,6429255,21890325443632.2,107240254905846,0.000325875,0.000778,6.33333333333333,13,21890325433632.2,107240254905846,53,"init-l8-omni.4th",17,4.89897946844102
25,6068145,21014712672077.2,105073562995399,0.00033364,0.000775,6,13,21014712662077.2,105073562995399,54,"init-l8-diverse.4th",7,4.99999998263183
24,5711948,21890325938154.3,107240257347298,0.000343041666666667,0.000657,6.58333333333333,14,21890325928154.3,107240257347298,55,"init-l8-volatile.4th",25,4.89897946929976
24,6327203,21890326207680.7,107240258650996,0.000323291666666667,0.000721,6.08333333333333,13,21890326197680.7,107240258650996,56,"init-l8-stable.4th",1,4.89897946853659
24,5757888,21890326448268.2,107240259837826,0.000334833333333333,0.000882,6.20833333333333,14,21890326438268.2,107240259837826,57,"init-l8-transition.4th",5,4.89897946891102
26,6953087,20206455459200,103033110308071,0.000343038461538462,0.00069,6.38461538461539,14,20206455449200,103033110308071,58,"init-l8-temporal.4th",25,5.0990194948397
25,7241167,21014713968020.3,105073569469760,0.00031836,0.000656,6.56,13,21014713958020.3,105073569469760,59,"init-l8-transition.4th",17,4.99999998237703
24,5857102,21890327293537.3,107240263968609,0.000330958333333333,0.000766,6.875,14,21890327283537.3,107240263968609,60,"init-l8-diverse.4th",15,4.89897946844631
