tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat,window_width,prefetch_hits_delta,jitter_ns,l8_mode,K_approx,K_deviation
0,535745,0,0,0,0,0,0.000000,65536,0,0,0,1.000000,0.000000
1,50061821,49526076,1477,1929,96864,0,0.000000,65536,83063,48526076,0,1.000000,0.000000
2,51139564,1077743,0,0,2127,0,0.000000,65536,1893,77743,0,1.000000,0.000000
3,52204116,1064552,0,0,2190,0,0.000000,65536,1939,64552,0,1.000000,0.000000
4,53263764,1059648,0,0,2118,0,0.000000,65536,1882,59648,0,1.000000,0.000000
5,54322418,1058654,0,0,2116,0,0.000000,65536,1877,58654,4,1.000000,0.000000
6,55383174,1060756,0,0,2114,0,0.000000,65536,1879,60756,4,1.000000,0.000000
7,56470354,1087180,0,0,2231,0,0.000000,65536,1970,87180,4,1.000000,0.000000
8,57559238,1088884,0,0,2261,0,0.000000,65536,2037,88884,4,1.000000,0.000000
9,58647217,1087979,0,0,2271,0,0.000000,65536,2047,87979,4,1.000000,0.000000
10,59735670,1088453,0,0,2280,0,0.000000,65536,2025,88453,4,1.000000,0.000000
11,60820127,1084457,0,0,2022,0,0.000000,65536,1805,84457,4,1.000000,0.000000
12,61883860,1063733,0,0,2208,0,0.000000,65536,1951,63733,4,1.000000,0.000000
13,62946803,1062943,0,0,2206,0,0.000000,65536,1952,62943,4,1.000000,0.000000
14,64009229,1062426,0,0,2213,0,0.000000,65536,1964,62426,4,1.000000,0.000000
15,65068503,1059274,0,0,2115,0,0.000000,65536,1891,59274,4,1.000000,0.000000
16,66125156,1056653,0,0,2110,0,0.000000,65536,1885,56653,4,1.000000,0.000000
17,67182935,1057779,0,0,2061,0,0.000000,65536,1838,57779,4,1.000000,0.000000
18,68240465,1057530,0,0,2023,0,0.000000,65536,1799,57530,4,1.000000,0.000000
19,69297669,1057204,0,0,1997,0,0.000000,65536,1773,57204,4,1.000000,0.000000
20,70358758,1061089,0,0,1997,0,0.000000,65536,1773,61089,4,1.000000,0.000000
21,71431017,1072259,0,0,2059,0,0.000000,65536,1835,72259,4,1.000000,0.000000
22,72523555,1092538,0,0,2255,0,0.000000,65536,2031,92538,4,1.000000,0.000000
23,73612916,1089361,0,0,2239,0,0.000000,65536,2015,89361,4,1.000000,0.000000
24,74673104,1060188,0,0,2041,0,0.000000,65536,1817,60188,4,1.000000,0.000000
25,75731243,1058139,0,0,2110,0,0.000000,65536,1886,58139,4,1.000000,0.000000
26,76784975,1053732,0,0,2201,0,0.000000,65536,1959,53732,4,1.000000,0.000000
27,77847464,1062489,0,0,2231,0,0.000000,65536,1972,62489,4,1.000000,0.000000
28,78909863,1062399,0,0,2225,0,0.000000,65536,1964,62399,4,1.000000,0.000000
29,79972171,1062308,0,0,2216,0,0.000000,65536,1970,62308,4,1.000000,0.000000
30,81032018,1059847,0,0,1981,0,0.000000,65536,1763,59847,4,1.000000,0.000000
31,82103561,1071543,0,0,1939,0,0.000000,65536,1739,71543,4,1.000000,0.000000
32,83163886,1060325,0,0,1960,0,0.000000,65536,1755,60325,4,1.000000,0.000000
33,84221089,1057203,0,0,1997,0,0.000000,65536,1787,57203,4,1.000000,0.000000
34,85277951,1056862,0,0,2111,0,0.000000,65536,1874,56862,4,1.000000,0.000000
35,86334133,1056182,0,0,2109,0,0.000000,65536,1874,56182,4,1.000000,0.000000
36,87390121,1055988,0,0,2108,0,0.000000,65536,1873,55988,4,1.000000,0.000000
37,88445869,1055748,0,0,2107,0,0.000000,65536,1873,55748,4,1.000000,0.000000
38,89502875,1057006,0,0,2092,0,0.000000,65536,1861,57006,4,1.000000,0.000000
39,90560118,1057243,0,0,2110,0,0.000000,65536,1875,57243,4,1.000000,0.000000
40,91616294,1056176,0,0,2109,0,0.000000,65536,1885,56176,4,1.000000,0.000000
41,92680971,1064677,0,0,2112,0,0.000000,65536,1888,64677,4,1.000000,0.000000
42,93736928,1055957,0,0,2101,0,0.000000,65536,1877,55957,4,1.000000,0.000000
43,94753883,1016955,0,0,1949,0,0.000000,65536,1725,16955,4,1.000000,0.000000
44,95809686,1055803,0,0,2108,0,0.000000,65536,1884,55803,4,1.000000,0.000000
45,96865603,1055917,0,0,2109,0,0.000000,65536,1885,55917,4,1.000000,0.000000
46,97922979,1057376,0,0,2094,0,0.000000,65536,1870,57376,4,1.000000,0.000000
47,98979274,1056295,0,0,2029,0,0.000000,65536,1805,56295,4,1.000000,0.000000
48,100035567,1056293,0,0,2058,0,0.000000,65536,1834,56293,4,1.000000,0.000000
49,101094349,1058782,0,0,1936,0,0.000000,65536,1712,58782,4,1.000000,0.000000
50,102156488,1062139,0,0,1906,0,0.000000,65536,1703,62139,4,1.000000,0.000000
51,103242966,1086478,0,0,1897,0,0.000000,65536,1704,86478,4,1.000000,0.000000
52,104301032,1058066,0,0,2005,0,0.000000,65536,1795,58066,4,1.000000,0.000000
53,105358791,1057759,0,0,2007,0,0.000000,65536,1792,57759,4,1.000000,0.000000
54,106415659,1056868,0,0,2076,0,0.000000,65536,1848,56868,4,1.000000,0.000000
55,107471522,1055863,0,0,2098,0,0.000000,65536,1866,55863,4,1.000000,0.000000
56,108528158,1056636,0,0,2075,0,0.000000,65536,1847,56636,4,1.000000,0.000000
57,109586094,1057936,0,0,2036,0,0.000000,65536,1816,57936,4,1.000000,0.000000
58,110643709,1057615,0,0,2098,0,0.000000,65536,1864,57615,4,1.000000,0.000000
59,111699937,1056228,0,0,2098,0,0.000000,65536,1865,56228,4,1.000000,0.000000
60,112755542,1055605,0,0,2091,0,0.000000,65536,1860,55605,4,1.000000,0.000000
61,113819819,1064277,0,0,2099,0,0.000000,65536,1867,64277,4,1.000000,0.000000
62,114875948,1056129,0,0,2109,0,0.000000,65536,1874,56129,4,1.000000,0.000000
63,115932545,1056597,0,0,2078,0,0.000000,65536,1850,56597,4,1.000000,0.000000
64,116990307,1057762,0,0,1853,0,0.000000,65536,1670,57762,4,1.000000,0.000000
65,118046992,1056685,0,0,1997,0,0.000000,65536,1785,56685,4,1.000000,0.000000
66,119103394,1056402,0,0,2068,0,0.000000,65536,1843,56402,4,1.000000,0.000000
67,120159527,1056133,0,0,2031,0,0.000000,65536,1812,56133,4,1.000000,0.000000
68,121217975,1058448,0,0,1927,0,0.000000,65536,1729,58448,4,1.000000,0.000000
69,122275090,1057115,0,0,2099,0,0.000000,65536,1866,57115,4,1.000000,0.000000
70,123331448,1056358,0,0,2109,0,0.000000,65536,1874,56358,4,1.000000,0.000000
71,124396644,1065196,0,0,2096,0,0.000000,65536,1864,65196,4,1.000000,0.000000
72,125455200,1058556,0,0,2072,0,0.000000,65536,1845,58556,4,1.000000,0.000000
73,126512060,1056860,0,0,2097,0,0.000000,65536,1865,56860,4,1.000000,0.000000
74,127568394,1056334,0,0,2098,0,0.000000,65536,1863,56334,4,1.000000,0.000000
75,128624947,1056553,0,0,2108,0,0.000000,65536,1874,56553,4,1.000000,0.000000
76,129681122,1056175,0,0,2109,0,0.000000,65536,1874,56175,4,1.000000,0.000000
77,130737093,1055971,0,0,2107,0,0.000000,65536,1873,55971,4,1.000000,0.000000
78,131753510,1016417,0,0,2025,0,0.000000,65536,1807,16417,4,1.000000,0.000000
79,132811506,1057996,0,0,2068,0,0.000000,65536,1842,57996,4,1.000000,0.000000
80,133870217,1058711,0,0,2063,0,0.000000,65536,1838,58711,4,1.000000,0.000000
81,134935905,1065688,0,0,2095,0,0.000000,65536,1863,65688,4,1.000000,0.000000
82,135992024,1056119,0,0,2109,0,0.000000,65536,1874,56119,4,1.000000,0.000000
83,137048178,1056154,0,0,2108,0,0.000000,65536,1884,56154,4,1.000000,0.000000
84,138104190,1056012,0,0,2108,0,0.000000,65536,1884,56012,4,1.000000,0.000000
85,139161175,1056985,0,0,2110,0,0.000000,65536,1886,56985,4,1.000000,0.000000
86,140219510,1058335,0,0,1949,0,0.000000,65536,1725,58335,4,1.000000,0.000000
87,141278383,1058873,0,0,1965,0,0.000000,65536,1749,58873,4,1.000000,0.000000
88,142336283,1057900,0,0,2100,0,0.000000,65536,1868,57900,4,1.000000,0.000000
89,143392320,1056037,0,0,2085,0,0.000000,65536,1860,56037,4,1.000000,0.000000
90,144449623,1057303,0,0,2099,0,0.000000,65536,1876,57303,4,1.000000,0.000000
91,145513796,1064173,0,0,2113,0,0.000000,65536,1889,64173,4,1.000000,0.000000
92,146569617,1055821,0,0,2096,0,0.000000,65536,1872,55821,4,1.000000,0.000000
93,147625327,1055710,0,0,2043,0,0.000000,65536,1819,55710,4,1.000000,0.000000
94,148681158,1055831,0,0,2096,0,0.000000,65536,1872,55831,4,1.000000,0.000000
95,149736899,1055741,0,0,2093,0,0.000000,65536,1869,55741,4,1.000000,0.000000
96,150753766,1016867,0,0,2014,0,0.000000,65536,1790,16867,4,1.000000,0.000000
97,151809361,1055595,0,0,2107,0,0.000000,65536,1883,55595,4,1.000000,0.000000
98,152865440,1056079,0,0,2109,0,0.000000,65536,1885,56079,4,1.000000,0.000000
99,153921369,1055929,0,0,2109,0,0.000000,65536,1885,55929,4,1.000000,0.000000
100,154977247,1055878,0,0,2108,0,0.000000,65536,1884,55878,4,1.000000,0.000000
101,156037308,1060061,0,0,2106,0,0.000000,65536,1882,60061,4,1.000000,0.000000
102,157093397,1056089,0,0,2070,0,0.000000,65536,1845,56089,4,1.000000,0.000000
103,158149321,1055924,0,0,2094,0,0.000000,65536,1866,55924,4,1.000000,0.000000
104,159205180,1055859,0,0,2033,0,0.000000,65536,1814,55859,4,1.000000,0.000000
105,160260903,1055723,0,0,2097,0,0.000000,65536,1864,55723,4,1.000000,0.000000
106,161317180,1056277,0,0,2024,0,0.000000,65536,1808,56277,4,1.000000,0.000000
107,162373514,1056334,0,0,2109,0,0.000000,65536,1873,56334,4,1.000000,0.000000
108,163431169,1057655,0,0,2075,0,0.000000,65536,1847,57655,4,1.000000,0.000000
109,164488216,1057047,0,0,2097,0,0.000000,65536,1865,57047,4,1.000000,0.000000
110,165544460,1056244,0,0,2107,0,0.000000,65536,1873,56244,4,1.000000,0.000000
111,166616615,1072155,0,0,2126,0,0.000000,65536,1888,72155,4,1.000000,0.000000
112,167673830,1057215,0,0,2109,0,0.000000,65536,1872,57215,4,1.000000,0.000000
113,168730108,1056278,0,0,2109,0,0.000000,65536,1874,56278,4,1.000000,0.000000
114,169753842,1023734,0,0,2001,0,0.000000,65536,1788,23734,4,1.000000,0.000000
115,170810199,1056357,0,0,2109,0,0.000000,65536,1875,56357,4,1.000000,0.000000
116,171866713,1056514,0,0,2091,0,0.000000,65536,1860,56514,4,1.000000,0.000000
117,172922821,1056108,0,0,2027,0,0.000000,65536,1809,56108,4,1.000000,0.000000
118,173978913,1056092,0,0,2097,0,0.000000,65536,1864,56092,4,1.000000,0.000000
119,175037534,1058621,0,0,1970,0,0.000000,65536,1764,58621,4,1.000000,0.000000
120,176095883,1058349,0,0,1908,0,0.000000,65536,1715,58349,4,1.000000,0.000000
121,177162949,1067066,0,0,2035,0,0.000000,65536,1816,67066,4,1.000000,0.000000
122,178220958,1058009,0,0,2091,0,0.000000,65536,1860,58009,4,1.000000,0.000000
123,179277699,1056741,0,0,2099,0,0.000000,65536,1866,56741,4,1.000000,0.000000
124,180333937,1056238,0,0,2098,0,0.000000,65536,1866,56238,4,1.000000,0.000000
125,181390037,1056100,0,0,2002,0,0.000000,65536,1821,56100,4,1.000000,0.000000
126,182449082,1059045,0,0,2041,0,0.000000,65536,1817,59045,4,1.000000,0.000000
127,183506718,1057636,0,0,2093,0,0.000000,65536,1869,57636,4,1.000000,0.000000
128,184563024,1056306,0,0,2091,0,0.000000,65536,1867,56306,4,1.000000,0.000000
129,185619874,1056850,0,0,1993,0,0.000000,65536,1769,56850,4,1.000000,0.000000
130,186676151,1056277,0,0,2100,0,0.000000,65536,1876,56277,4,1.000000,0.000000
131,187739677,1063526,0,0,2114,0,0.000000,65536,1890,63526,4,1.000000,0.000000
132,188753960,1014283,0,0,2014,0,0.000000,65536,1789,14283,4,1.000000,0.000000
133,189812399,1058439,0,0,2077,0,0.000000,65536,1854,58439,4,1.000000,0.000000
134,190870021,1057622,0,0,2081,0,0.000000,65536,1857,57622,4,1.000000,0.000000
135,191926137,1056116,0,0,1936,0,0.000000,65536,1712,56116,4,1.000000,0.000000
136,192981623,1055486,0,0,2084,0,0.000000,65536,1860,55486,4,1.000000,0.000000
137,194037556,1055933,0,0,2099,0,0.000000,65536,1875,55933,4,1.000000,0.000000
138,195093791,1056235,0,0,2060,0,0.000000,65536,1836,56235,4,1.000000,0.000000
139,196149930,1056139,0,0,2101,0,0.000000,65536,1877,56139,4,1.000000,0.000000
140,197205629,1055699,0,0,2100,0,0.000000,65536,1876,55699,4,1.000000,0.000000
141,198266487,1060858,0,0,2111,0,0.000000,65536,1887,60858,4,1.000000,0.000000
142,199322350,1055863,0,0,2078,0,0.000000,65536,1854,55863,4,1.000000,0.000000
143,200378950,1056600,0,0,2099,0,0.000000,65536,1875,56600,4,1.000000,0.000000
144,201437041,1058091,0,0,1951,0,0.000000,65536,1727,58091,4,1.000000,0.000000
145,202523113,1086072,0,0,2006,0,0.000000,65536,1782,86072,4,1.000000,0.000000
146,203584359,1061246,0,0,1879,0,0.000000,65536,1655,61246,4,1.000000,0.000000
147,204642071,1057712,0,0,2066,0,0.000000,65536,1842,57712,4,1.000000,0.000000
148,205699645,1057574,0,0,2072,0,0.000000,65536,1847,57574,4,1.000000,0.000000
149,206754455,1054810,0,0,2091,0,0.000000,65536,1868,54810,4,1.000000,0.000000
150,207810363,1055908,0,0,2098,0,0.000000,65536,1874,55908,4,1.000000,0.000000
151,208875546,1065183,0,0,2116,0,0.000000,65536,1891,65183,4,1.000000,0.000000
152,209931560,1056014,0,0,2098,0,0.000000,65536,1875,56014,4,1.000000,0.000000
153,210987352,1055792,0,0,2099,0,0.000000,65536,1875,55792,4,1.000000,0.000000
154,212043568,1056216,0,0,2069,0,0.000000,65536,1845,56216,4,1.000000,0.000000
